month,rate
2023-01,13.65
2023-02,13.65
2023-03,13.65
2023-04,13.65
2023-05,13.65
2023-06,13.65
2023-07,13.65
2023-08,13.65
2023-09,13.15
2023-10,12.65
2023-11,12.65
2023-12,12.15
2024-01,11.65
2024-02,11.15
2024-03,11.15
2024-04,10.65
2024-05,10.65
2024-06,10.40
2024-07,10.40
2024-08,10.40
2024-09,10.40
2024-10,10.65
2024-11,10.65
2024-12,11.15
2025-01,12.15
2025-02,13.15
2025-03,13.15
2025-04,14.15
2025-05,14.15
2025-06,14.65
2025-07,14.90
2025-08,14.90
2025-09,14.90
2025-10,14.90
2025-11,14.90
2025-12,14.90
2026-01,14.90
