timestamp_or_date,event_type,scope,ticker,signal_type,action,qty,price,notional,cash_before,cash_after,reason_code,reason_detail
2023-01-02,SIGNAL,TICKER,ABEV3.SA,SOFT,REDUCE,,,,111.48371505737305,,,
2023-01-02,ORDER,TICKER,ABEV3.SA,SOFT,SELL,880.0,14.1899995803833,12487.199630737305,111.48371505737305,111.48371505737305,,
2023-01-02,SIGNAL,TICKER,TIMS3.SA,SOFT,REDUCE,,,,111.48371505737305,,,
2023-01-02,ORDER,TICKER,TIMS3.SA,SOFT,SELL,1043.0,11.979999542236328,12495.13952255249,111.48371505737305,111.48371505737305,,
2023-01-02,SIGNAL,TICKER,ELET3.SA,SOFT,REDUCE,,,,111.48371505737305,,,
2023-01-02,ORDER,TICKER,ELET3.SA,SOFT,SELL,307.0,40.59000015258789,12461.130046844482,111.48371505737305,111.48371505737305,,
2023-01-02,SIGNAL,TICKER,ITUB4.SA,SOFT,REDUCE,,,,111.48371505737305,,,
2023-01-02,ORDER,TICKER,ITUB4.SA,SOFT,SELL,561.0,22.263635635375977,12489.899591445923,111.48371505737305,111.48371505737305,,
2023-01-03,SIGNAL,TICKER,ABEV3.SA,SOFT,REDUCE,,,,111.48371505737305,,,
2023-01-03,ORDER,TICKER,ABEV3.SA,SOFT,SELL,660.0,14.170000076293945,9352.200050354004,111.48371505737305,111.48371505737305,,
2023-01-03,SIGNAL,TICKER,TIMS3.SA,SOFT,REDUCE,,,,111.48371505737305,,,
2023-01-03,ORDER,TICKER,TIMS3.SA,SOFT,SELL,782.0,11.6899995803833,9141.579671859741,111.48371505737305,111.48371505737305,,
2023-01-03,SIGNAL,TICKER,ELET3.SA,SOFT,REDUCE,,,,111.48371505737305,,,
2023-01-03,ORDER,TICKER,ELET3.SA,SOFT,SELL,231.0,39.83000183105469,9200.730422973633,111.48371505737305,111.48371505737305,,
2023-01-03,SIGNAL,TICKER,ITUB4.SA,SOFT,REDUCE,,,,111.48371505737305,,,
2023-01-03,ORDER,TICKER,ITUB4.SA,SOFT,SELL,421.0,21.799999237060547,9177.79967880249,111.48371505737305,111.48371505737305,,
2023-01-04,SIGNAL,TICKER,ABEV3.SA,SOFT,REDUCE,,,,49929.952453450205,,,
2023-01-04,ORDER,TICKER,ABEV3.SA,SOFT,SELL,495.0,14.25,7053.75,49929.952453450205,49929.952453450205,,
2023-01-04,SIGNAL,TICKER,TIMS3.SA,SOFT,REDUCE,,,,49929.952453450205,,,
2023-01-04,ORDER,TICKER,TIMS3.SA,SOFT,SELL,587.0,11.899999618530273,6985.2997760772705,49929.952453450205,49929.952453450205,,
2023-01-04,SIGNAL,TICKER,ELET3.SA,SOFT,REDUCE,,,,49929.952453450205,,,
2023-01-04,ORDER,TICKER,ELET3.SA,SOFT,SELL,173.0,40.900001525878906,7075.700263977051,49929.952453450205,49929.952453450205,,
2023-01-04,SIGNAL,TICKER,CPLE6.SA,SOFT,REDUCE,,,,49929.952453450205,,,
2023-01-04,ORDER,TICKER,CPLE6.SA,SOFT,SELL,1636.0,7.7078351974487305,12610.018383026123,49929.952453450205,49929.952453450205,,
2023-01-04,SIGNAL,TICKER,ITUB4.SA,SOFT,REDUCE,,,,49929.952453450205,,,
2023-01-04,ORDER,TICKER,ITUB4.SA,SOFT,SELL,315.0,21.863636016845703,6887.0453453063965,49929.952453450205,49929.952453450205,,
2023-01-04,SIGNAL,TICKER,RAIL3.SA,SOFT,REDUCE,,,,49929.952453450205,,,
2023-01-04,ORDER,TICKER,RAIL3.SA,SOFT,SELL,707.0,17.520000457763672,12386.640323638916,49929.952453450205,49929.952453450205,,
2023-01-05,SIGNAL,TICKER,ABEV3.SA,SOFT,REDUCE,,,,86706.9538127041,,,
2023-01-05,ORDER,TICKER,ABEV3.SA,SOFT,SELL,372.0,14.289999961853027,5315.879985809326,86706.9538127041,86706.9538127041,,
2023-01-05,SIGNAL,TICKER,EQTL3.SA,SOFT,REDUCE,,,,86706.9538127041,,,
2023-01-05,ORDER,TICKER,EQTL3.SA,SOFT,SELL,477.0,25.6496524810791,12234.884233474731,86706.9538127041,86706.9538127041,,
2023-01-05,SIGNAL,TICKER,TIMS3.SA,SOFT,REDUCE,,,,86706.9538127041,,,
2023-01-05,ORDER,TICKER,TIMS3.SA,SOFT,SELL,440.0,11.789999961853027,5187.599983215332,86706.9538127041,86706.9538127041,,
2023-01-05,SIGNAL,TICKER,ELET3.SA,SOFT,REDUCE,,,,86706.9538127041,,,
2023-01-05,ORDER,TICKER,ELET3.SA,SOFT,SELL,130.0,40.97999954223633,5327.399940490723,86706.9538127041,86706.9538127041,,
2023-01-05,SIGNAL,TICKER,CPLE6.SA,SOFT,REDUCE,,,,86706.9538127041,,,
2023-01-05,ORDER,TICKER,CPLE6.SA,SOFT,SELL,1227.0,7.647851943969727,9383.914335250854,86706.9538127041,86706.9538127041,,
2023-01-05,SIGNAL,TICKER,CMIG4.SA,SOFT,REDUCE,,,,86706.9538127041,,,
2023-01-05,ORDER,TICKER,CMIG4.SA,SOFT,SELL,1489.0,8.369230270385742,12461.78387260437,86706.9538127041,86706.9538127041,,
2023-01-05,SIGNAL,TICKER,RADL3.SA,SOFT,REDUCE,,,,86706.9538127041,,,
2023-01-05,ORDER,TICKER,RADL3.SA,SOFT,SELL,558.0,22.509614944458008,12560.365139007568,86706.9538127041,86706.9538127041,,
2023-01-05,SIGNAL,TICKER,ITUB4.SA,SOFT,REDUCE,,,,86706.9538127041,,,
2023-01-05,ORDER,TICKER,ITUB4.SA,SOFT,SELL,237.0,22.545454025268555,5343.2726039886475,86706.9538127041,86706.9538127041,,
2023-01-05,SIGNAL,TICKER,RAIL3.SA,SOFT,REDUCE,,,,86706.9538127041,,,
2023-01-05,ORDER,TICKER,RAIL3.SA,SOFT,SELL,531.0,17.639999389648438,9366.83967590332,86706.9538127041,86706.9538127041,,
2023-01-05,SIGNAL,TICKER,ITSA4.SA,SOFT,REDUCE,,,,86706.9538127041,,,
2023-01-05,ORDER,TICKER,ITSA4.SA,SOFT,SELL,1655.0,7.532765865325928,12466.72750711441,86706.9538127041,86706.9538127041,,
2023-01-06,SIGNAL,TICKER,ABEV3.SA,SOFT,REDUCE,,,,139565.9102235918,,,
2023-01-06,ORDER,TICKER,ABEV3.SA,SOFT,SELL,279.0,14.319999694824219,3995.279914855957,139565.9102235918,139565.9102235918,,
2023-01-06,SIGNAL,TICKER,EQTL3.SA,SOFT,REDUCE,,,,139565.9102235918,,,
2023-01-06,ORDER,TICKER,EQTL3.SA,SOFT,SELL,358.0,25.569747924804688,9153.969757080078,139565.9102235918,139565.9102235918,,
2023-01-06,SIGNAL,TICKER,TIMS3.SA,SOFT,REDUCE,,,,139565.9102235918,,,
2023-01-06,ORDER,TICKER,TIMS3.SA,SOFT,SELL,330.0,11.9399995803833,3940.1998615264893,139565.9102235918,139565.9102235918,,
2023-01-06,SIGNAL,TICKER,ELET3.SA,SOFT,REDUCE,,,,139565.9102235918,,,
2023-01-06,ORDER,TICKER,ELET3.SA,SOFT,SELL,97.0,41.0,3977.0,139565.9102235918,139565.9102235918,,
2023-01-06,SIGNAL,TICKER,CPLE6.SA,HARD,ZERO,,,,139565.9102235918,,,
2023-01-06,ORDER,TICKER,CPLE6.SA,HARD,SELL,3683.0,7.537881851196289,27762.018857955933,139565.9102235918,139565.9102235918,,
2023-01-06,SIGNAL,TICKER,CMIG4.SA,SOFT,REDUCE,,,,139565.9102235918,,,
2023-01-06,ORDER,TICKER,CMIG4.SA,SOFT,SELL,1117.0,8.369230270385742,9348.430212020874,139565.9102235918,139565.9102235918,,
2023-01-06,SIGNAL,TICKER,RADL3.SA,SOFT,REDUCE,,,,139565.9102235918,,,
2023-01-06,ORDER,TICKER,RADL3.SA,SOFT,SELL,419.0,22.971153259277344,9624.913215637207,139565.9102235918,139565.9102235918,,
2023-01-06,SIGNAL,TICKER,ITUB4.SA,SOFT,REDUCE,,,,139565.9102235918,,,
2023-01-06,ORDER,TICKER,ITUB4.SA,SOFT,SELL,177.0,22.936363220214844,4059.7362899780273,139565.9102235918,139565.9102235918,,
2023-01-06,SIGNAL,TICKER,RAIL3.SA,SOFT,REDUCE,,,,139565.9102235918,,,
2023-01-06,ORDER,TICKER,RAIL3.SA,SOFT,SELL,398.0,17.799999237060547,7084.399696350098,139565.9102235918,139565.9102235918,,
2023-01-06,SIGNAL,TICKER,ITSA4.SA,SOFT,REDUCE,,,,139565.9102235918,,,
2023-01-06,ORDER,TICKER,ITSA4.SA,SOFT,SELL,1241.0,7.659215927124023,9505.086965560913,139565.9102235918,139565.9102235918,,
2023-01-09,SIGNAL,TICKER,ABEV3.SA,SOFT,REDUCE,,,,228980.1044995358,,,
2023-01-09,ORDER,TICKER,ABEV3.SA,SOFT,SELL,209.0,14.399999618530273,3009.599920272827,228980.1044995358,228980.1044995358,,
2023-01-09,SIGNAL,TICKER,EQTL3.SA,SOFT,REDUCE,,,,228980.1044995358,,,
2023-01-09,ORDER,TICKER,EQTL3.SA,SOFT,SELL,269.0,25.919334411621094,6972.300956726074,228980.1044995358,228980.1044995358,,
2023-01-09,SIGNAL,TICKER,TIMS3.SA,SOFT,REDUCE,,,,228980.1044995358,,,
2023-01-09,ORDER,TICKER,TIMS3.SA,SOFT,SELL,247.0,11.949999809265137,2951.6499528884888,228980.1044995358,228980.1044995358,,
2023-01-09,SIGNAL,TICKER,ELET3.SA,SOFT,REDUCE,,,,228980.1044995358,,,
2023-01-09,ORDER,TICKER,ELET3.SA,SOFT,SELL,73.0,41.29999923706055,3014.89994430542,228980.1044995358,228980.1044995358,,
2023-01-09,SIGNAL,TICKER,RAIL3.SA,SOFT,REDUCE,,,,228980.1044995358,,,
2023-01-09,ORDER,TICKER,RAIL3.SA,SOFT,SELL,298.0,17.719999313354492,5280.559795379639,228980.1044995358,228980.1044995358,,
2023-01-09,ORDER,TICKER,UGPA3.SA,,BUY,3181.0,12.300000190734863,39126.3006067276,228980.1044995358,189785.11444189813,,WEEKLY_BUY
2023-01-09,ORDER,TICKER,ABEV3.SA,,BUY,1731.0,14.399999618530273,24926.399339675903,228980.1044995358,164811.32550321272,,WEEKLY_BUY
2023-01-09,ORDER,TICKER,EQTL3.SA,,BUY,505.0,25.919334411621094,13089.263877868652,228980.1044995358,151692.42772952726,,WEEKLY_BUY
2023-01-09,ORDER,TICKER,TIMS3.SA,,BUY,1676.0,11.949999809265137,20028.19968032837,228980.1044995358,131624.1857496784,,WEEKLY_BUY
2023-01-09,ORDER,TICKER,CMIG4.SA,,BUY,693.0,8.584614753723145,5949.138024330139,228980.1044995358,125656.12401831178,,WEEKLY_BUY
2023-01-09,ORDER,TICKER,ELET3.SA,,BUY,399.0,41.29999923706055,16478.69969558716,228980.1044995358,109142.70627318123,,WEEKLY_BUY
2023-01-09,ORDER,TICKER,RADL3.SA,,BUY,220.0,22.75,5005.0,228980.1044995358,104120.19877318124,,WEEKLY_BUY
2023-01-09,ORDER,TICKER,ITUB4.SA,,BUY,527.0,23.100000381469727,12173.700201034546,228980.1044995358,91918.23802184514,,WEEKLY_BUY
2023-01-09,ORDER,TICKER,RAIL3.SA,,BUY,526.0,17.719999313354492,9320.719638824463,228980.1044995358,82573.53730356245,,WEEKLY_BUY
2023-01-09,ORDER,TICKER,ITSA4.SA,,BUY,485.0,7.71340799331665,3741.0028767585754,228980.1044995358,78816.92292248874,,WEEKLY_BUY
2023-01-10,SIGNAL,TICKER,ABEV3.SA,SOFT,REDUCE,,,,167035.28114129786,,,
2023-01-10,ORDER,TICKER,ABEV3.SA,SOFT,SELL,589.0,14.539999961853027,8564.059977531433,167035.28114129786,167035.28114129786,,
2023-01-10,SIGNAL,TICKER,EQTL3.SA,SOFT,REDUCE,,,,167035.28114129786,,,
2023-01-10,ORDER,TICKER,EQTL3.SA,SOFT,SELL,328.0,26.149063110351562,8576.892700195312,167035.28114129786,167035.28114129786,,
2023-01-10,SIGNAL,TICKER,TIMS3.SA,SOFT,REDUCE,,,,167035.28114129786,,,
