date,ticker,pos_bod,pos_eod,price,value_eod,dd20,dd60,vol_ratio,soft_signal,hard_signal,action_decided,action_executed,qty_exec,notional_exec,cashflow_date,settlement_date,reason_if_not_executed
2023-01-02,RAIL3.SA,2831,2831,17.65999984741211,49995.45956802368,0.03274423951461347,0.15943987699237816,,False,False,,,,,,,
2023-01-02,CMIG4.SA,5957,5957,8.39230728149414,49992.974475860596,0.019366164135091957,0.06070828880608148,,False,False,,,,,,,
2023-01-02,RADL3.SA,2235,2235,22.36538314819336,49986.63133621216,0.014131351273674153,0.10422963090089665,,False,False,,,,,,,
2023-01-02,TIMS3.SA,4173,3130,11.979999542236328,37497.39856719971,0.057750777940266396,0.0948905261922478,,True,False,REDUCE,SELL,1043.0,12495.13952255249,2023-01-02,2023-01-04,
2023-01-02,ITSA4.SA,6621,6621,7.550830841064453,49994.050998687744,0.029646549279372825,0.13961396822360328,,False,False,,,,,,,
2023-01-02,CPLE6.SA,6546,6546,7.637854099273682,49997.39293384552,0.014943925900908095,0.0949655532974314,,False,False,,,,,,,
2023-01-02,ELET3.SA,1231,924,40.59000015258789,37505.16014099121,0.042509722101179204,0.1832460891770743,,True,False,REDUCE,SELL,307.0,12461.130046844482,2023-01-02,2023-01-04,
2023-01-02,EQTL3.SA,1911,1911,26.1590518951416,49989.9481716156,0.009530806209717024,0.10113112660224832,,False,False,,,,,,,
2023-01-02,ABEV3.SA,3523,2643,14.1899995803833,37504.168890953064,0.11083891453758243,0.1326164482501785,,True,False,REDUCE,SELL,880.0,12487.199630737305,2023-01-02,2023-01-04,
2023-01-02,ITUB4.SA,2245,1684,22.263635635375977,37491.962409973145,0.050512735598126746,0.1951062369283516,,True,False,REDUCE,SELL,561.0,12489.899591445923,2023-01-02,2023-01-04,
2023-01-03,RAIL3.SA,2831,2831,17.260000228881836,48863.06064796448,0.03274423951461347,0.15943987699237816,,False,False,,,,,,,
2023-01-03,CMIG4.SA,5957,5957,8.192307472229004,48801.575612068176,0.019366164135091957,0.06070828880608148,,False,False,,,,,,,
2023-01-03,RADL3.SA,2235,2235,21.942306518554688,49041.05506896973,0.014131351273674153,0.10422963090089665,,False,False,,,,,,,
2023-01-03,TIMS3.SA,3130,2348,11.6899995803833,27448.11901473999,0.057750777940266396,0.0948905261922478,,True,False,REDUCE,SELL,782.0,9141.579671859741,2023-01-03,2023-01-05,
2023-01-03,ITSA4.SA,6621,6621,7.361156940460205,48738.22010278702,0.029646549279372825,0.13961396822360328,,False,False,,,,,,,
2023-01-03,CPLE6.SA,6546,6546,7.497893810272217,49081.21288204193,0.014943925900908095,0.0949655532974314,,False,False,,,,,,,
2023-01-03,ELET3.SA,924,693,39.83000183105469,27602.1912689209,0.042509722101179204,0.1832460891770743,,True,False,REDUCE,SELL,231.0,9200.730422973633,2023-01-03,2023-01-05,
2023-01-03,EQTL3.SA,1911,1911,25.519807815551758,48768.35273551941,0.009530806209717024,0.10113112660224832,,False,False,,,,,,,
2023-01-03,ABEV3.SA,2643,1983,14.170000076293945,28099.110151290894,0.11083891453758243,0.1326164482501785,,True,False,REDUCE,SELL,660.0,9352.200050354004,2023-01-03,2023-01-05,
2023-01-03,ITUB4.SA,1684,1263,21.799999237060547,27533.39903640747,0.050512735598126746,0.1951062369283516,,True,False,REDUCE,SELL,421.0,9177.79967880249,2023-01-03,2023-01-05,
2023-01-04,RAIL3.SA,2831,2124,17.520000457763672,37212.48097229004,0.07780677810961334,0.2023486750560144,,True,False,REDUCE,SELL,707.0,12386.640323638916,2023-01-04,2023-01-06,
2023-01-04,CMIG4.SA,5957,5957,8.292306900024414,49397.272203445435,0.03621911058730909,0.08010117664841954,,False,False,,,,,,,
2023-01-04,RADL3.SA,2235,2235,21.826923370361328,48783.17373275757,0.03325025284023242,0.1216012610213707,,False,False,,,,,,,
2023-01-04,TIMS3.SA,2348,1761,11.899999618530273,20955.89932823181,0.07131783748058462,0.12554746649453197,,True,False,REDUCE,SELL,587.0,6985.2997760772705,2023-01-04,2023-01-06,
2023-01-04,ITSA4.SA,6621,6621,7.424380779266357,49156.82513952255,0.032407354790284004,0.15477940316961192,,False,False,,,,,,,
2023-01-04,CPLE6.SA,6546,4910,7.7078351974487305,37845.47081947327,0.048567952223534716,0.12585811145625725,,True,False,REDUCE,SELL,1636.0,12610.018383026123,2023-01-04,2023-01-06,
2023-01-04,ELET3.SA,693,520,40.900001525878906,21268.00079345703,0.0758196301272156,0.21291447754920823,,True,False,REDUCE,SELL,173.0,7075.700263977051,2023-01-04,2023-01-06,
2023-01-04,EQTL3.SA,1911,1911,25.569747924804688,48863.78828430176,0.03995596987891714,0.1287425180132432,,False,False,,,,,,,
2023-01-04,ABEV3.SA,1983,1488,14.25,21204.0,0.11588783458521168,0.15232976258066777,,True,False,REDUCE,SELL,495.0,7053.75,2023-01-04,2023-01-06,
2023-01-04,ITUB4.SA,1263,948,21.863636016845703,20726.726943969727,0.0634799063364131,0.21152607142427726,,True,False,REDUCE,SELL,315.0,6887.0453453063965,2023-01-04,2023-01-06,
2023-01-05,CMIG4.SA,5957,4468,8.369230270385742,37393.720848083496,0.05918728698868658,0.10202358523553512,,True,False,REDUCE,SELL,1489.0,12461.78387260437,2023-01-05,2023-01-09,
2023-01-05,ITSA4.SA,6621,4966,7.532765865325928,37407.71528720856,0.05671290143487506,0.17601101209402403,,True,False,REDUCE,SELL,1655.0,12466.72750711441,2023-01-05,2023-01-09,
2023-01-05,CPLE6.SA,4910,3683,7.647851943969727,28167.038709640503,0.06600252254148731,0.14187637388424768,,True,False,REDUCE,SELL,1227.0,9383.914335250854,2023-01-05,2023-01-09,
2023-01-05,ELET3.SA,520,390,40.97999954223633,15982.199821472168,0.09312378206751737,0.22765169542841412,,True,False,REDUCE,SELL,130.0,5327.399940490723,2023-01-05,2023-01-09,
2023-01-05,EQTL3.SA,1911,1434,25.6496524810791,36781.60165786743,0.06341639439508462,0.1500332815084534,,True,False,REDUCE,SELL,477.0,12234.884233474731,2023-01-05,2023-01-09,
