date,equity
2023-01-02,500000.00
2023-01-03,500050.00
2023-01-04,500100.01
2023-01-05,500150.02
2023-01-06,500200.03
2023-01-09,500250.05
2023-01-10,500300.08
2023-01-11,500350.11
2023-01-12,500400.14
2023-01-13,500450.18
2023-01-16,500500.23
2023-01-17,500550.28
2023-01-18,500600.33
2023-01-19,500650.39
2023-01-20,500700.46
2023-01-23,500750.53
2023-01-24,500800.60
2023-01-25,500850.68
2023-01-26,500900.77
2023-01-27,500950.86
2023-01-30,501000.95
2023-01-31,501051.05
2023-02-01,501101.16
2023-02-02,501151.27
2023-02-03,501201.38
2023-02-06,501251.50
2023-02-07,501301.63
2023-02-08,501351.76
2023-02-09,501401.89
2023-02-10,501452.03
2023-02-13,501502.18
2023-02-14,501552.33
2023-02-15,501602.48
2023-02-16,501652.64
2023-02-17,501702.81
2023-02-20,501752.98
2023-02-21,501803.15
2023-02-22,501853.33
2023-02-23,501903.52
2023-02-24,501953.71
2023-02-27,502003.90
2023-02-28,502054.11
2023-03-01,502104.31
2023-03-02,502154.52
2023-03-03,502204.74
2023-03-06,502254.96
2023-03-07,502305.18
2023-03-08,502355.41
2023-03-09,502405.65
2023-03-10,502455.89
2023-03-13,502506.13
2023-03-14,502556.39
2023-03-15,502606.64
2023-03-16,502656.90
2023-03-17,502707.17
2023-03-20,502757.44
2023-03-21,502807.71
2023-03-22,502857.99
2023-03-23,502908.28
2023-03-24,502958.57
2023-03-27,503008.87
2023-03-28,503059.17
2023-03-29,503109.47
2023-03-30,503159.78
2023-03-31,503210.10
2023-04-03,503260.42
2023-04-04,503310.75
2023-04-05,503361.08
2023-04-06,503411.42
2023-04-07,503461.76
2023-04-10,503512.10
2023-04-11,503562.45
2023-04-12,503612.81
2023-04-13,503663.17
2023-04-14,503713.54
2023-04-17,503763.91
2023-04-18,503814.29
2023-04-19,503864.67
2023-04-20,503915.05
2023-04-21,503965.44
2023-04-24,504015.84
2023-04-25,504066.24
2023-04-26,504116.65
2023-04-27,504167.06
2023-04-28,504217.48
2023-05-01,504267.90
2023-05-02,504318.33
2023-05-03,504368.76
2023-05-04,504419.19
2023-05-05,504469.64
2023-05-08,504520.08
2023-05-09,504570.54
2023-05-10,504620.99
2023-05-11,504671.46
2023-05-12,504721.92
2023-05-15,504772.39
2023-05-16,504822.87
2023-05-17,504873.35
2023-05-18,504923.84
2023-05-19,504974.33
