date,asof_date,ticker,action,action_expected,triggered_rule,flag_mismatch,rule_thresholds,drawdown_20d,drawdown_60d,var_95,cvar_95,vol_ratio,below_sma_100,below_sma_200,beta,ibov_vol_60d,qty,price,fee_total,cash_delta_date,settlement_date,rule_id_or_reason,notional,side,cashflow_signed
2023-01-02,2022-12-29,ABEV3.SA,BUY,BUY,WEEKLY_BUY,False,"{""any_of"": [{""metric"": ""drawdown_20d"", ""op"": "">="", ""value"": 0.08}, {""metric"": ""var_95_1d_252d"", ""op"": "">="", ""value"": 0.025}], ""action"": ""REDUCE""}",0.1108389145375824,0.1326164482501785,,,,True,True,,,3442,14.52,84.9668,2023-01-02,2023-01-02,WEEKLY_BUY,49977.84,BUY,-50062.8068
2023-01-02,2022-12-29,AURE3.SA,BUY,BUY,WEEKLY_BUY,False,,0.0212625012918959,0.0212625012918959,,,,False,False,,,3393,14.73,84.9683,2023-01-02,2023-01-02,WEEKLY_BUY,49978.89,BUY,-50063.8583
2023-01-02,2022-12-29,B3SA3.SA,BUY,BUY,WEEKLY_BUY,False,"{""any_of"": [{""metric"": ""drawdown_60d"", ""op"": "">="", ""value"": 0.15}, {""metric"": ""cvar_95_1d_252d"", ""op"": "">="", ""value"": 0.04}], ""action"": ""ZERO""}",0.0156482888936738,0.1532051464666428,,,,False,False,,,3784,13.21,84.98,2023-01-02,2023-01-02,WEEKLY_BUY,49986.64000000001,BUY,-50071.62000000001
2023-01-02,2022-12-29,BBAS3.SA,BUY,BUY,WEEKLY_BUY,False,"{""any_of"": [{""metric"": ""drawdown_60d"", ""op"": "">="", ""value"": 0.15}, {""metric"": ""cvar_95_1d_252d"", ""op"": "">="", ""value"": 0.04}], ""action"": ""ZERO""}",0.0360810236221139,0.2226947335492035,,,,True,True,,,2878,17.365,84.9647,2023-01-02,2023-01-02,WEEKLY_BUY,49976.469999999994,BUY,-50061.43469999999
2023-01-02,2022-12-29,BBDC4.SA,BUY,BUY,WEEKLY_BUY,False,"{""any_of"": [{""metric"": ""drawdown_60d"", ""op"": "">="", ""value"": 0.15}, {""metric"": ""cvar_95_1d_252d"", ""op"": "">="", ""value"": 0.04}], ""action"": ""ZERO""}",0.0143136153979747,0.2923867479447227,,,,True,True,,,3299,15.15,84.9698,2023-01-02,2023-01-02,WEEKLY_BUY,49979.85,BUY,-50064.8198
2023-01-02,2022-12-29,BEEF3.SA,BUY,BUY,WEEKLY_BUY,False,,0.0,0.1456822694154448,,,,True,True,,,3857,12.96,84.9801,2023-01-02,2023-01-02,WEEKLY_BUY,49986.72,BUY,-50071.7001
2023-01-02,2022-12-29,BPAC11.SA,BUY,BUY,WEEKLY_BUY,False,"{""any_of"": [{""metric"": ""drawdown_60d"", ""op"": "">="", ""value"": 0.15}, {""metric"": ""cvar_95_1d_252d"", ""op"": "">="", ""value"": 0.04}], ""action"": ""ZERO""}",0.0648690831384866,0.1863311652726353,,,,True,True,,,2089,23.93,84.9847,2023-01-02,2023-01-02,WEEKLY_BUY,49989.77,BUY,-50074.7547
2023-01-02,2022-12-29,CMIG4.SA,BUY,BUY,WEEKLY_BUY,False,,0.0193661641350919,0.0607082888060814,,,,True,True,,,5833,8.5692,84.9765,2023-01-02,2023-01-02,WEEKLY_BUY,49984.1436,BUY,-50069.1201
2023-01-02,2022-12-29,COGN3.SA,BUY,BUY,WEEKLY_BUY,False,"{""any_of"": [{""metric"": ""drawdown_60d"", ""op"": "">="", ""value"": 0.15}, {""metric"": ""cvar_95_1d_252d"", ""op"": "">="", ""value"": 0.04}], ""action"": ""ZERO""}",0.0363637092684895,0.3595166398163644,,,,True,True,,,23580,2.12,84.9844,2023-01-02,2023-01-02,WEEKLY_BUY,49989.600000000006,BUY,-50074.58440000001
2023-01-03,2023-01-02,ABEV3.SA,SELL,ZERO,HARD_STOP,False,"{""any_of"": [{""metric"": ""drawdown_60d"", ""op"": "">="", ""value"": 0.15}, {""metric"": ""cvar_95_1d_252d"", ""op"": "">="", ""value"": 0.04}], ""action"": ""ZERO""}",0.1158878345852116,0.1523297625806677,,,,True,True,,,3442,14.19,83.263,2023-01-05,2023-01-05,HARD_STOP,48841.979999999996,SELL,48758.717
