date,action,ticker,qty,price,fee_total,cash_delta_date,settlement_date,rule_id_or_reason,notional
2026-01-20,SELL,BBAS3.SA,1.831462721752652e+20,21.31,5.854270443366359e+18,2026-01-22,2026-01-22,HARD_STOP,3.9028470600549007e+21
2026-01-13,SELL,B3SA3.SA,1.352842452405018e+20,14.49,2.9404030238561475e+18,2026-01-15,2026-01-15,HARD_STOP,1.960268713534871e+21
2026-01-06,SELL,COGN3.SA,3.062882882225135e+20,3.23,1.4839667652010563e+18,2026-01-08,2026-01-08,HARD_STOP,9.893111709587187e+20
2025-12-30,SELL,BEEF3.SA,7.726114113364335e+19,5.78,6.698541179437366e+17,2026-01-05,2026-01-05,HARD_STOP,4.465693957524586e+20
2025-12-22,BUY,AURE3.SA,1.3612573830142732e+19,11.98,2.4461794238065222e+17,2025-12-22,2025-12-22,WEEKLY_BUY,1.6307863448510995e+20
2025-12-23,SELL,BBAS3.SA,7.59486969474298e+18,21.3,2.426560780553996e+17,2025-12-29,2025-12-29,HARD_STOP,1.6177072449802548e+20
2025-12-09,SELL,B3SA3.SA,5.772296265425272e+18,14.35,1.2424868041621342e+17,2025-12-11,2025-12-11,SOFT_STOP,8.283245140885265e+19
2025-12-23,SELL,AURE3.SA,6.806286915071366e+18,11.8,1.2047128034405752e+17,2025-12-29,2025-12-29,SOFT_STOP,8.031418559784213e+19
2025-08-25,BUY,B3SA3.SA,3.771877083350457e+18,12.56,7.1062166624436536e+16,2025-08-25,2025-08-25,WEEKLY_BUY,4.737477616688174e+19
2025-08-26,SELL,B3SA3.SA,3.771877083350457e+18,12.55,7.100558717321505e+16,2025-08-28,2025-08-28,HARD_STOP,4.733705739604823e+19
2025-10-08,SELL,ABEV3.SA,3.828735432802028e+18,11.71,6.725173809624962e+16,2025-10-10,2025-10-10,SOFT_STOP,4.483449191811175e+19
2025-12-10,SELL,B3SA3.SA,2.886148132712636e+18,14.12,6.112861695541347e+16,2025-12-12,2025-12-12,SOFT_STOP,4.075241163390242e+19
2025-12-26,SELL,AURE3.SA,3.403143457535683e+18,11.93,6.08992537304365e+16,2025-12-30,2025-12-30,SOFT_STOP,4.05995014484007e+19
2025-08-19,SELL,BEEF3.SA,6.281772143834708e+18,5.12,4.824400898631291e+16,2025-08-21,2025-08-21,HARD_STOP,3.2162673376433705e+19
2025-08-19,SELL,COGN3.SA,1.0882415493839899e+19,2.93,4.782821718514578e+16,2025-08-21,2025-08-21,HARD_STOP,3.1885477396950905e+19
2025-08-12,SELL,BBAS3.SA,1.6232012380170076e+18,19.1,4.650471639799047e+16,2025-08-14,2025-08-14,HARD_STOP,3.1003143646124847e+19
2025-08-18,BUY,BEEF3.SA,6.281772143834708e+18,4.91,4.6265250401559096e+16,2025-08-18,2025-08-18,WEEKLY_BUY,3.0843501226228417e+19
2025-12-23,SELL,EQTL3.SA,6.615904277342644e+17,37.6,3.73136986099522e+16,2025-12-29,2025-12-29,SOFT_STOP,2.4875800082808345e+19
2025-10-10,SELL,ABEV3.SA,1.9143677164010135e+18,11.72,3.3654585221116824e+16,2025-10-14,2025-10-14,SOFT_STOP,2.243638963621988e+19
2025-12-11,SELL,B3SA3.SA,1.443074066356318e+18,14.21,3.075912380695829e+16,2025-12-15,2025-12-15,SOFT_STOP,2.050608248292328e+19
