date,action,ticker,qty,price,fee_total,cash_delta_date,settlement_date,rule_id_or_reason
2023-01-02,BUY,ABEV3.SA,3442,14.5200,84.9668,2023-01-02,2023-01-02,WEEKLY_BUY
2023-01-02,BUY,AURE3.SA,3393,14.7300,84.9683,2023-01-02,2023-01-02,WEEKLY_BUY
2023-01-02,BUY,B3SA3.SA,3784,13.2100,84.9800,2023-01-02,2023-01-02,WEEKLY_BUY
2023-01-02,BUY,BBAS3.SA,2878,17.3650,84.9647,2023-01-02,2023-01-02,WEEKLY_BUY
2023-01-02,BUY,BBDC4.SA,3299,15.1500,84.9698,2023-01-02,2023-01-02,WEEKLY_BUY
2023-01-02,BUY,BEEF3.SA,3857,12.9600,84.9801,2023-01-02,2023-01-02,WEEKLY_BUY
2023-01-02,BUY,BPAC11.SA,2089,23.9300,84.9847,2023-01-02,2023-01-02,WEEKLY_BUY
2023-01-02,BUY,CMIG4.SA,5833,8.5692,84.9765,2023-01-02,2023-01-02,WEEKLY_BUY
2023-01-02,BUY,COGN3.SA,23580,2.1200,84.9844,2023-01-02,2023-01-02,WEEKLY_BUY
2023-01-03,SELL,ABEV3.SA,3442,14.1900,83.2630,2023-01-05,2023-01-05,HARD_STOP
2023-01-03,SELL,B3SA3.SA,3784,12.2500,79.5310,2023-01-05,2023-01-05,HARD_STOP
2023-01-03,SELL,BBAS3.SA,2878,16.6300,81.7917,2023-01-05,2023-01-05,HARD_STOP
2023-01-03,SELL,BBDC4.SA,3299,14.7500,82.9904,2023-01-05,2023-01-05,HARD_STOP
2023-01-03,SELL,BEEF3.SA,3857,12.7000,83.4758,2023-01-05,2023-01-05,HARD_STOP
2023-01-03,SELL,BPAC11.SA,2089,22.3800,80.1277,2023-01-05,2023-01-05,HARD_STOP
2023-01-03,SELL,COGN3.SA,23580,2.0500,82.5085,2023-01-05,2023-01-05,HARD_STOP
2023-01-05,SELL,CMIG4.SA,5833,8.2923,82.5535,2023-01-09,2023-01-09,HARD_STOP
2023-01-05,SELL,CPLE6.SA,3121,7.7078,46.0842,2023-01-09,2023-01-09,SOFT_STOP
2023-01-06,SELL,CPLE6.SA,1561,7.6479,27.9074,2023-01-10,2023-01-10,SOFT_STOP
2023-01-09,SELL,CPLE6.SA,780,7.5379,18.8193,2023-01-11,2023-01-11,SOFT_STOP
2023-01-09,BUY,ELET3.SA,1392,41.0000,95.6080,2023-01-09,2023-01-09,WEEKLY_BUY
2023-01-09,BUY,EQTL3.SA,2233,25.5697,95.6459,2023-01-09,2023-01-09,WEEKLY_BUY
2023-01-09,BUY,GGBR4.SA,2372,24.0714,95.6461,2023-01-09,2023-01-09,WEEKLY_BUY
2023-01-09,BUY,ITSA4.SA,7455,7.6592,95.6492,2023-01-09,2023-01-09,WEEKLY_BUY
2023-01-09,BUY,ITUB4.SA,2489,22.9364,95.6329,2023-01-09,2023-01-09,WEEKLY_BUY
2023-01-09,BUY,LREN3.SA,3239,17.6273,95.6421,2023-01-09,2023-01-09,WEEKLY_BUY
2023-01-09,BUY,MGLU3.SA,2211,25.8149,95.6152,2023-01-09,2023-01-09,WEEKLY_BUY
2023-01-10,SELL,CPLE6.SA,390,7.4679,14.3687,2023-01-12,2023-01-12,SOFT_STOP
2023-01-10,SELL,ELET3.SA,1392,41.3000,96.2344,2023-01-12,2023-01-12,HARD_STOP
2023-01-10,SELL,EQTL3.SA,1116,25.9193,53.3890,2023-01-12,2023-01-12,SOFT_STOP
2023-01-10,SELL,GGBR4.SA,2372,24.5635,97.3969,2023-01-12,2023-01-12,HARD_STOP
2023-01-10,SELL,ITUB4.SA,2489,23.1000,96.2439,2023-01-12,2023-01-12,HARD_STOP
2023-01-10,SELL,LREN3.SA,3239,17.6727,95.8629,2023-01-12,2023-01-12,HARD_STOP
2023-01-10,SELL,MGLU3.SA,2211,26.4697,97.7866,2023-01-12,2023-01-12,HARD_STOP
2023-01-10,SELL,PETR3.SA,2103,27.0900,95.4554,2023-01-12,2023-01-12,HARD_STOP
2023-01-11,SELL,CPLE6.SA,195,7.4379,12.1756,2023-01-13,2023-01-13,SOFT_STOP
2023-01-11,SELL,EQTL3.SA,558,26.1491,31.8868,2023-01-13,2023-01-13,SOFT_STOP
2023-01-12,SELL,CPLE6.SA,98,7.7878,11.1448,2023-01-16,2023-01-16,SOFT_STOP
2023-01-12,SELL,EQTL3.SA,279,27.3277,21.4366,2023-01-16,2023-01-16,SOFT_STOP
2023-01-13,SELL,CPLE6.SA,49,7.7278,10.5680,2023-01-17,2023-01-17,SOFT_STOP
2023-01-13,SELL,EQTL3.SA,140,27.5174,15.7787,2023-01-17,2023-01-17,SOFT_STOP
2023-01-16,SELL,CPLE6.SA,24,7.7778,10.2800,2023-01-18,2023-01-18,SOFT_STOP
2023-01-16,SELL,EQTL3.SA,70,27.0480,12.8400,2023-01-18,2023-01-18,SOFT_STOP
2023-01-16,BUY,PETR4.SA,3227,24.5700,128.9311,2023-01-16,2023-01-16,WEEKLY_BUY
2023-01-16,BUY,PRIO3.SA,2030,39.0500,128.9072,2023-01-16,2023-01-16,WEEKLY_BUY
2023-01-16,BUY,RADL3.SA,3439,23.0577,128.9431,2023-01-16,2023-01-16,WEEKLY_BUY
2023-01-16,BUY,RAIL3.SA,4317,18.3700,128.9549,2023-01-16,2023-01-16,WEEKLY_BUY
2023-01-16,BUY,RDOR3.SA,3015,26.3000,128.9417,2023-01-16,2023-01-16,WEEKLY_BUY
2023-01-17,SELL,CPLE6.SA,12,7.6978,10.1386,2023-01-19,2023-01-19,SOFT_STOP
2023-01-17,SELL,EQTL3.SA,35,26.7983,11.4069,2023-01-19,2023-01-19,SOFT_STOP
2023-01-17,SELL,PETR4.SA,3227,24.0400,126.3656,2023-01-19,2023-01-19,HARD_STOP
2023-01-17,SELL,PRIO3.SA,2030,39.0700,128.9681,2023-01-19,2023-01-19,HARD_STOP
2023-01-17,SELL,RADL3.SA,3439,23.1538,129.4391,2023-01-19,2023-01-19,HARD_STOP
2023-01-17,SELL,RAIL3.SA,4317,18.3000,128.5016,2023-01-19,2023-01-19,HARD_STOP
2023-01-17,SELL,RDOR3.SA,3015,26.1300,128.1729,2023-01-19,2023-01-19,HARD_STOP
2023-01-17,SELL,RENT3.SA,1471,53.5733,128.2094,2023-01-19,2023-01-19,HARD_STOP
2023-01-18,SELL,CPLE6.SA,6,7.6978,10.0693,2023-01-20,2023-01-20,SOFT_STOP
2023-01-18,SELL,EQTL3.SA,17,26.7883,10.6831,2023-01-20,2023-01-20,SOFT_STOP
2023-01-19,SELL,CPLE6.SA,3,7.7378,10.0348,2023-01-23,2023-01-23,SOFT_STOP
2023-01-19,SELL,EQTL3.SA,9,27.3876,10.3697,2023-01-23,2023-01-23,SOFT_STOP
2023-01-20,SELL,CPLE6.SA,2,7.8078,10.0234,2023-01-24,2023-01-24,SOFT_STOP
2023-01-20,SELL,EQTL3.SA,4,27.3576,10.1641,2023-01-24,2023-01-24,SOFT_STOP
2023-01-23,SELL,CPLE6.SA,1,7.7278,10.0116,2023-01-25,2023-01-25,SOFT_STOP
2023-01-23,SELL,EQTL3.SA,2,26.9581,10.0809,2023-01-25,2023-01-25,SOFT_STOP
2023-01-23,BUY,ABEV3.SA,6886,13.5300,149.7514,2023-01-23,2023-01-23,WEEKLY_BUY
2023-01-23,BUY,B3SA3.SA,7296,12.7700,149.7549,2023-01-23,2023-01-23,WEEKLY_BUY
2023-01-23,BUY,BBAS3.SA,4650,20.0350,149.7441,2023-01-23,2023-01-23,WEEKLY_BUY
2023-01-23,BUY,BBDC4.SA,6351,14.6700,149.7538,2023-01-23,2023-01-23,WEEKLY_BUY
2023-01-23,BUY,BEEF3.SA,6007,15.5100,149.7529,2023-01-23,2023-01-23,WEEKLY_BUY
2023-01-24,SELL,EQTL3.SA,1,26.9581,10.0404,2023-01-26,2023-01-26,SOFT_STOP
2023-01-24,SELL,ABEV3.SA,6886,13.4200,148.6152,2023-01-26,2023-01-26,HARD_STOP
2023-01-24,SELL,B3SA3.SA,7296,12.6500,148.4416,2023-01-26,2023-01-26,HARD_STOP
2023-01-24,SELL,BBAS3.SA,4650,19.8850,148.6979,2023-01-26,2023-01-26,HARD_STOP
2023-01-24,SELL,BBDC4.SA,6351,14.0500,143.8473,2023-01-26,2023-01-26,HARD_STOP
2023-01-24,SELL,BEEF3.SA,6007,14.9600,144.7971,2023-01-26,2023-01-26,HARD_STOP
2023-01-24,SELL,BPAC11.SA,4326,20.9300,145.8148,2023-01-26,2023-01-26,HARD_STOP
2023-01-25,SELL,EQTL3.SA,1,27.1978,10.0408,2023-01-27,2023-01-27,SOFT_STOP
2023-01-30,BUY,CMIG4.SA,12354,8.6154,169.6517,2023-01-30,2023-01-30,WEEKLY_BUY
2023-01-30,BUY,COGN3.SA,49275,2.1600,169.6510,2023-01-30,2023-01-30,WEEKLY_BUY
2023-01-30,BUY,ELET3.SA,2577,41.3000,169.6451,2023-01-30,2023-01-30,WEEKLY_BUY
2023-01-30,BUY,GGBR4.SA,4155,25.6111,169.6212,2023-01-30,2023-01-30,WEEKLY_BUY
2023-01-30,BUY,ITUB4.SA,4696,22.6636,169.6426,2023-01-30,2023-01-30,WEEKLY_BUY
2023-01-31,SELL,CMIG4.SA,12354,8.5923,169.2240,2023-02-02,2023-02-02,HARD_STOP
2023-01-31,SELL,COGN3.SA,49275,2.1600,169.6510,2023-02-02,2023-02-02,HARD_STOP
2023-01-31,SELL,ELET3.SA,2577,40.7000,167.3259,2023-02-02,2023-02-02,HARD_STOP
2023-01-31,SELL,GGBR4.SA,4155,25.7302,170.3632,2023-02-02,2023-02-02,HARD_STOP
2023-01-31,SELL,ITUB4.SA,4696,22.6727,169.7067,2023-02-02,2023-02-02,HARD_STOP
