date,equity
2023-01-02,548603.49
2023-01-03,530369.61
2023-01-04,527447.07
2023-01-05,530162.43
2023-01-06,530184.76
2023-01-09,585950.50
2023-01-10,589584.86
2023-01-11,590488.74
2023-01-12,593317.49
2023-01-13,594021.74
2023-01-16,670650.84
2023-01-17,667617.20
2023-01-18,668301.79
2023-01-19,667304.81
2023-01-20,668437.73
2023-01-23,759119.88
2023-01-24,745184.22
2023-01-25,746964.63
2023-01-26,747982.15
2023-01-27,748590.95
2023-01-30,852125.70
2023-01-31,849397.22
2023-02-01,850583.86
2023-02-02,848934.45
2023-02-03,849033.96
2023-02-06,969591.30
2023-02-07,973628.02
2023-02-08,971654.13
2023-02-09,976775.71
2023-02-10,975022.71
2023-02-13,1096200.21
2023-02-14,1105470.98
2023-02-15,1104727.42
2023-02-16,1105301.32
2023-02-17,1106012.68
2023-02-22,1105165.45
2023-02-23,1103918.92
2023-02-24,1103749.46
2023-02-27,1241778.41
2023-02-28,1238880.15
2023-03-01,1238243.52
2023-03-02,1234814.74
2023-03-03,1228810.89
2023-03-06,1421234.59
2023-03-07,1445322.42
2023-03-08,1444820.73
2023-03-09,1447952.37
2023-03-10,1447210.61
2023-03-13,1738859.73
2023-03-14,1739804.18
2023-03-15,1745228.44
2023-03-16,1746210.50
2023-03-17,1749414.06
2023-03-20,2041211.02
2023-03-21,2012058.51
2023-03-22,2009636.14
2023-03-23,2009600.82
2023-03-24,2006427.67
2023-03-27,2354951.94
2023-03-28,2370858.08
2023-03-29,2381240.89
2023-03-30,2384226.21
2023-03-31,2384434.49
2023-04-03,2799958.37
2023-04-04,2839561.40
2023-04-05,2845510.97
2023-04-06,2844814.27
2023-04-10,3469229.24
2023-04-11,3500797.42
2023-04-12,3505988.88
2023-04-13,3505881.47
2023-04-14,3503430.20
2023-04-17,4317572.84
2023-04-18,4311507.90
2023-04-19,4309709.31
2023-04-20,4308953.50
2023-04-24,5323022.35
2023-04-25,5336771.69
2023-04-26,5336019.24
2023-04-27,5334818.61
2023-04-28,5334077.71
2023-05-02,5334079.63
2023-05-03,5335559.78
2023-05-04,5340313.26
2023-05-05,5341058.63
2023-05-08,6351348.45
2023-05-09,6393398.00
2023-05-10,6393250.70
2023-05-11,6391766.62
2023-05-12,6393253.94
2023-05-15,7613208.07
2023-05-16,7682045.78
2023-05-17,7681747.99
