date,action,ticker,qty,price,fee_total,cash_delta_date,settlement_date,rule_id_or_reason
2023-01-02,BUY,ABEV3.SA,3442,14.5200,84.9668,2023-01-02,2023-01-02,WEEKLY_BUY
2023-01-02,BUY,AURE3.SA,3393,14.7300,84.9683,2023-01-02,2023-01-02,WEEKLY_BUY
2023-01-02,BUY,B3SA3.SA,3784,13.2100,84.9800,2023-01-02,2023-01-02,WEEKLY_BUY
2023-01-02,BUY,BBAS3.SA,2878,17.3650,84.9647,2023-01-02,2023-01-02,WEEKLY_BUY
2023-01-02,BUY,BBDC4.SA,3299,15.1500,84.9698,2023-01-02,2023-01-02,WEEKLY_BUY
2023-01-02,BUY,BEEF3.SA,3857,12.9600,84.9801,2023-01-02,2023-01-02,WEEKLY_BUY
2023-01-02,BUY,BPAC11.SA,2089,23.9300,84.9847,2023-01-02,2023-01-02,WEEKLY_BUY
2023-01-02,BUY,CMIG4.SA,5833,8.5692,84.9765,2023-01-02,2023-01-02,WEEKLY_BUY
2023-01-02,BUY,COGN3.SA,23580,2.1200,84.9844,2023-01-02,2023-01-02,WEEKLY_BUY
2023-01-03,SELL,B3SA3.SA,3784,12.2500,79.5310,2023-01-05,2023-01-05,TICKER_HARD_STOP
2023-01-03,SELL,BBAS3.SA,2878,16.6300,81.7917,2023-01-05,2023-01-05,TICKER_HARD_STOP
2023-01-03,SELL,BBDC4.SA,3299,14.7500,82.9904,2023-01-05,2023-01-05,TICKER_HARD_STOP
2023-01-03,SELL,BPAC11.SA,2089,22.3800,80.1277,2023-01-05,2023-01-05,TICKER_HARD_STOP
2023-01-03,SELL,COGN3.SA,23580,2.0500,82.5085,2023-01-05,2023-01-05,TICKER_HARD_STOP
2023-01-04,SELL,BEEF3.SA,3857,12.3400,81.3931,2023-01-06,2023-01-06,TICKER_HARD_STOP
2023-01-09,BUY,ELET3.SA,1359,41.0000,93.5785,2023-01-09,2023-01-09,WEEKLY_BUY
2023-01-09,BUY,EQTL3.SA,2179,25.5697,93.5747,2023-01-09,2023-01-09,WEEKLY_BUY
2023-01-09,BUY,GGBR4.SA,2315,24.0714,93.5880,2023-01-09,2023-01-09,WEEKLY_BUY
2023-01-09,BUY,ITSA4.SA,7276,7.6592,93.5927,2023-01-09,2023-01-09,WEEKLY_BUY
2023-01-09,BUY,ITUB4.SA,2429,22.9364,93.5686,2023-01-09,2023-01-09,WEEKLY_BUY
2023-01-10,SELL,ELET3.SA,1359,41.3000,94.1900,2023-01-12,2023-01-12,TICKER_HARD_STOP
2023-01-10,SELL,ITUB4.SA,2429,23.1000,94.1649,2023-01-12,2023-01-12,TICKER_HARD_STOP
2023-01-10,SELL,LREN3.SA,3141,17.6727,93.2651,2023-01-12,2023-01-12,TICKER_HARD_STOP
2023-01-16,BUY,MGLU3.SA,2315,32.0816,121.4033,2023-01-16,2023-01-16,WEEKLY_BUY
2023-01-16,BUY,PETR3.SA,2682,27.6900,121.3969,2023-01-16,2023-01-16,WEEKLY_BUY
2023-01-17,SELL,ABEV3.SA,3442,13.2000,78.1516,2023-01-19,2023-01-19,TICKER_HARD_STOP
2023-01-17,SELL,MGLU3.SA,2315,36.0099,135.0445,2023-01-19,2023-01-19,TICKER_HARD_STOP
2023-01-17,SELL,PETR3.SA,2682,27.0000,118.6210,2023-01-19,2023-01-19,TICKER_HARD_STOP
2023-01-17,SELL,PETR4.SA,3014,24.0400,118.6848,2023-01-19,2023-01-19,TICKER_HARD_STOP
2023-01-23,BUY,B3SA3.SA,6798,12.7700,140.2157,2023-01-23,2023-01-23,WEEKLY_BUY
2023-01-23,BUY,BBAS3.SA,4333,20.0350,140.2175,2023-01-23,2023-01-23,WEEKLY_BUY
2023-01-23,BUY,BBDC4.SA,5917,14.6700,140.2036,2023-01-23,2023-01-23,WEEKLY_BUY
2023-01-24,SELL,B3SA3.SA,6798,12.6500,138.9920,2023-01-26,2023-01-26,TICKER_HARD_STOP
2023-01-24,SELL,BBDC4.SA,5917,14.0500,134.7008,2023-01-26,2023-01-26,TICKER_HARD_STOP
2023-01-30,BUY,BPAC11.SA,6001,21.2700,201.4619,2023-01-30,2023-01-30,WEEKLY_BUY
2023-01-31,SELL,BPAC11.SA,6001,21.1000,199.9317,2023-02-02,2023-02-02,TICKER_HARD_STOP
2023-01-31,SELL,COGN3.SA,59005,2.1600,201.1762,2023-02-02,2023-02-02,TICKER_HARD_STOP
2023-02-06,BUY,ABEV3.SA,14680,12.9800,295.8196,2023-02-06,2023-02-06,WEEKLY_BUY
2023-02-07,SELL,ABEV3.SA,14680,13.0200,296.7004,2023-02-09,2023-02-09,TICKER_HARD_STOP
2023-02-07,SELL,ELET3.SA,5007,38.2100,296.9762,2023-02-09,2023-02-09,TICKER_HARD_STOP
2023-02-13,BUY,B3SA3.SA,24242,11.8000,439.0834,2023-02-13,2023-02-13,WEEKLY_BUY
2023-02-15,SELL,BEEF3.SA,5573,12.7000,116.1656,2023-02-17,2023-02-17,TICKER_HARD_STOP
2023-02-23,SELL,B3SA3.SA,24242,10.8500,404.5386,2023-02-27,2023-02-27,TICKER_HARD_STOP
2023-02-27,BUY,ABEV3.SA,23232,13.3200,474.1753,2023-02-27,2023-02-27,WEEKLY_BUY
2023-02-28,SELL,BPAC11.SA,15221,19.9100,464.5752,2023-03-02,2023-03-02,TICKER_HARD_STOP
2023-03-01,SELL,ABEV3.SA,23232,13.3900,476.6147,2023-03-03,2023-03-03,TICKER_HARD_STOP
2023-03-06,BUY,BEEF3.SA,39075,11.8000,701.6275,2023-03-06,2023-03-06,WEEKLY_BUY
2023-03-07,SELL,BEEF3.SA,39075,11.7800,700.4552,2023-03-09,2023-03-09,TICKER_HARD_STOP
2023-03-10,SELL,GGBR4.SA,2315,21.7302,85.4580,2023-03-14,2023-03-14,TICKER_HARD_STOP
2023-03-13,BUY,B3SA3.SA,40852,11.2600,699.9903,2023-03-13,2023-03-13,WEEKLY_BUY
2023-03-14,SELL,ELET3.SA,14434,31.8900,700.4504,2023-03-16,2023-03-16,TICKER_HARD_STOP
2023-03-24,SELL,BBDC4.SA,22544,12.5700,435.0671,2023-03-28,2023-03-28,TICKER_HARD_STOP
2023-03-24,SELL,B3SA3.SA,40852,10.4200,648.5168,2023-03-28,2023-03-28,TICKER_HARD_STOP
2023-03-27,SELL,COGN3.SA,232525,1.8500,655.2569,2023-03-29,2023-03-29,TICKER_HARD_STOP
2023-03-27,BUY,BEEF3.SA,28041,11.5200,494.5485,2023-03-27,2023-03-27,WEEKLY_BUY
2023-03-27,BUY,BPAC11.SA,17386,18.5800,494.5478,2023-03-27,2023-03-27,WEEKLY_BUY
2023-03-28,SELL,BEEF3.SA,28041,11.3600,487.8186,2023-03-30,2023-03-30,TICKER_HARD_STOP
2023-03-28,SELL,BPAC11.SA,17386,18.8200,500.8068,2023-03-30,2023-03-30,TICKER_HARD_STOP
2023-03-28,SELL,GGBR4.SA,15717,20.5667,494.8694,2023-03-30,2023-03-30,TICKER_HARD_STOP
2023-04-03,BUY,ELET3.SA,24309,33.2800,1223.5052,2023-04-03,2023-04-03,WEEKLY_BUY
2023-04-03,BUY,ITUB4.SA,35970,22.4909,1223.4970,2023-04-03,2023-04-03,WEEKLY_BUY
2023-04-04,SELL,ELET3.SA,24309,32.8000,1206.0028,2023-04-06,2023-04-06,TICKER_HARD_STOP
2023-04-04,SELL,LREN3.SA,53548,14.0091,1135.2382,2023-04-06,2023-04-06,TICKER_HARD_STOP
2023-04-10,BUY,B3SA3.SA,109895,10.7000,1773.8147,2023-04-10,2023-04-10,WEEKLY_BUY
2023-04-11,SELL,B3SA3.SA,109895,10.9100,1808.4316,2023-04-13,2023-04-13,TICKER_HARD_STOP
2023-04-18,SELL,BEEF3.SA,250663,9.4100,3548.1082,2023-04-20,2023-04-20,TICKER_HARD_STOP
2023-08-21,SELL,AURE3.SA,678,13.6000,23.8312,2023-08-23,2023-08-23,PORTFOLIO_SOFT_STOP
2023-08-21,SELL,CMIG4.SA,1166,9.2385,26.1581,2023-08-23,2023-08-23,PORTFOLIO_SOFT_STOP
2023-08-21,SELL,CPLE6.SA,1248,8.7400,26.3613,2023-08-23,2023-08-23,PORTFOLIO_SOFT_STOP
2023-08-21,SELL,EQTL3.SA,435,31.9000,30.8147,2023-08-23,2023-08-23,PORTFOLIO_SOFT_STOP
2023-08-21,SELL,ITSA4.SA,1455,8.4989,28.5488,2023-08-23,2023-08-23,PORTFOLIO_SOFT_STOP
2023-08-21,SELL,BBAS3.SA,866,23.8950,41.0396,2023-08-23,2023-08-23,PORTFOLIO_SOFT_STOP
2023-08-21,SELL,ABEV3.SA,13630,14.3600,303.5902,2023-08-23,2023-08-23,PORTFOLIO_SOFT_STOP
2023-08-21,SELL,ITUB4.SA,7194,24.5091,274.4776,2023-08-23,2023-08-23,PORTFOLIO_SOFT_STOP
2023-08-21,SELL,BBDC4.SA,18021,15.1900,420.6085,2023-08-23,2023-08-23,PORTFOLIO_SOFT_STOP
2023-08-21,SELL,BPAC11.SA,41551,30.7000,1923.4236,2023-08-23,2023-08-23,PORTFOLIO_SOFT_STOP
2023-08-23,SELL,AURE3.SA,543,13.6300,21.1016,2023-08-25,2023-08-25,PORTFOLIO_SOFT_STOP
2023-08-23,SELL,CMIG4.SA,933,9.4231,23.1876,2023-08-25,2023-08-25,PORTFOLIO_SOFT_STOP
2023-08-23,SELL,CPLE6.SA,999,8.6700,22.9920,2023-08-25,2023-08-25,PORTFOLIO_SOFT_STOP
2023-08-23,SELL,EQTL3.SA,348,31.8400,26.6205,2023-08-25,2023-08-25,PORTFOLIO_SOFT_STOP
2023-08-23,SELL,ITSA4.SA,1164,8.5079,24.8549,2023-08-25,2023-08-25,PORTFOLIO_SOFT_STOP
