date,equity
2023-01-02,548603.49
2023-01-03,530536.35
2023-01-04,526075.05
2023-01-05,529194.41
2023-01-06,529643.82
2023-01-09,583993.83
2023-01-10,587235.83
2023-01-11,590554.31
2023-01-12,599220.95
2023-01-13,599030.81
2023-01-16,669655.42
2023-01-17,669877.83
2023-01-18,672911.45
2023-01-19,675639.88
2023-01-20,677238.58
2023-01-23,758880.97
2023-01-24,746636.60
2023-01-25,748528.10
2023-01-26,755430.76
2023-01-27,755776.88
2023-01-30,875375.49
2023-01-31,873051.98
2023-02-01,876670.07
2023-02-02,872601.66
2023-02-03,865853.29
2023-02-06,1050296.18
2023-02-07,1051782.99
2023-02-08,1046679.22
2023-02-09,1055038.70
2023-02-10,1042494.44
2023-02-13,1331086.80
2023-02-14,1345763.66
2023-02-15,1334651.92
2023-02-16,1352301.23
2023-02-17,1355249.41
2023-02-22,1344770.60
2023-02-23,1328451.20
2023-02-24,1328238.21
2023-02-27,1619431.94
2023-02-28,1610096.20
2023-03-01,1607655.92
2023-03-02,1601818.70
2023-03-03,1592532.16
2023-03-06,2054486.08
2023-03-07,2072593.98
2023-03-08,2083646.62
2023-03-09,2140820.86
2023-03-10,2136272.72
2023-03-13,2562536.21
2023-03-14,2577120.44
2023-03-15,2576502.38
2023-03-16,2612286.46
2023-03-17,2628666.86
2023-03-20,3545202.66
2023-03-21,3510781.28
2023-03-22,3495360.48
2023-03-23,3487678.10
2023-03-24,3410312.03
2023-03-27,3701178.03
2023-03-28,3706992.46
2023-03-29,3755141.08
2023-03-30,3771993.36
2023-03-31,3778235.89
2023-04-03,4549733.71
2023-04-04,4454371.23
2023-04-05,4481977.58
2023-04-06,4478390.81
2023-04-10,5650851.98
2023-04-11,5698480.29
2023-04-12,5815601.40
2023-04-13,5824945.39
2023-04-14,5815923.59
2023-04-17,8204031.30
2023-04-18,8187150.41
2023-04-19,8168818.10
2023-04-20,8126075.24
2023-04-24,12871044.03
2023-04-25,12768879.81
2023-04-26,12854969.91
2023-04-27,12758008.42
2023-04-28,12950503.99
2023-05-02,13021161.43
2023-05-03,12796760.71
2023-05-04,12839886.29
2023-05-05,12994557.29
2023-05-08,13216109.49
2023-05-09,13332629.49
2023-05-10,13400293.74
2023-05-11,13515643.87
2023-05-12,13669641.13
2023-05-15,13648824.84
2023-05-16,13726924.90
2023-05-17,13700126.90
2023-05-18,13803764.80
2023-05-19,13800348.94
2023-05-22,13895269.00
2023-05-23,13769848.16
2023-05-24,13786706.52
2023-05-25,13724583.46
2023-05-26,14026434.41
2023-05-29,14075697.55
2023-05-30,14105198.53
2023-05-31,13891484.15
2023-06-01,13793400.68
2023-06-02,14023096.36
2023-06-05,14244100.54
2023-06-06,14329803.86
2023-06-07,14418353.61
2023-06-09,14571443.74
2023-06-12,14615170.08
2023-06-13,14664774.68
2023-06-14,14546118.85
2023-06-15,14596261.54
2023-06-16,14637861.38
2023-06-19,14773074.85
2023-06-20,14870881.27
2023-06-21,15023828.85
2023-06-22,15120681.75
2023-06-23,14904757.03
2023-06-26,14917483.69
2023-06-27,14846128.76
2023-06-28,14781825.23
2023-06-29,14759040.78
2023-06-30,14977706.17
2023-07-03,15120748.44
2023-07-04,15351217.27
2023-07-05,15301848.43
2023-07-06,15278786.10
2023-07-07,14934228.33
2023-07-10,15249770.32
2023-07-11,15125422.99
2023-07-12,15046415.31
2023-07-13,15065110.18
2023-07-14,15307491.66
2023-07-17,15161896.27
2023-07-18,15410296.37
2023-07-19,15450805.96
2023-07-20,15351741.99
2023-07-21,15480861.04
2023-07-24,15735097.40
2023-07-25,15586083.63
2023-07-26,15547137.21
2023-07-27,15622583.17
2023-07-28,15482515.53
2023-07-31,15593803.88
2023-08-01,15641306.11
2023-08-02,15601834.63
2023-08-03,15487846.16
2023-08-04,15476032.24
2023-08-07,15271567.87
2023-08-08,15264138.51
2023-08-09,15252831.66
2023-08-10,15216520.00
2023-08-11,15216914.04
2023-08-14,15095799.42
2023-08-15,15146113.25
2023-08-16,14954042.69
2023-08-17,14798132.21
2023-08-18,14601939.64
2023-08-21,14719979.89
2023-08-22,14663635.24
2023-08-23,14858591.82
2023-08-24,15039115.55
2023-08-25,14990834.46
2023-08-28,14905830.50
2023-08-29,14998279.82
2023-08-30,15113910.92
2023-08-31,15041976.31
2023-09-01,14953109.17
2023-09-04,14941310.49
2023-09-05,14859152.29
2023-09-06,14794691.47
2023-09-08,14707285.19
2023-09-11,14656532.66
2023-09-12,14740722.17
2023-09-13,14838293.48
2023-09-14,15001466.85
2023-09-15,15100578.93
2023-09-18,14988322.60
2023-09-19,14910001.71
2023-09-20,14782230.62
2023-09-21,14754034.35
2023-09-22,14664801.07
2023-09-25,14675660.56
2023-09-26,14663303.17
2023-09-27,14541639.99
2023-09-28,14493382.19
2023-09-29,14622601.16
2023-10-02,23825322.22
2023-10-03,23528368.96
2023-10-04,23443136.22
2023-10-05,23563238.19
2023-10-06,23555486.12
2023-10-09,41665991.35
2023-10-10,41535731.95
2023-10-11,41594620.20
2023-10-13,41710963.49
2023-10-16,77616875.51
2023-10-17,77977273.34
2023-10-18,77504848.39
2023-10-19,77037952.85
2023-10-20,77206369.08
2023-10-23,76527585.01
2023-10-24,76728538.45
2023-10-25,76796952.57
2023-10-26,76692342.88
2023-10-27,77652576.69
2023-10-30,77133828.02
2023-10-31,76640960.83
2023-11-01,76165629.99
2023-11-03,76498118.41
2023-11-06,78474073.05
2023-11-07,78498399.58
2023-11-08,79563020.17
2023-11-09,79874023.79
2023-11-10,79811012.82
2023-11-13,79457520.83
2023-11-14,78628642.54
2023-11-16,79523019.17
2023-11-17,80817257.41
2023-11-20,80378849.17
2023-11-21,80461303.66
2023-11-22,80230571.56
2023-11-23,81124811.53
2023-11-24,82217595.05
2023-11-27,118245757.38
2023-11-28,118065149.71
2023-11-29,119305707.27
2023-11-30,119271903.81
2023-12-01,119902001.63
2023-12-04,120641127.95
2023-12-05,120287736.94
2023-12-06,120401705.76
2023-12-07,119274650.85
2023-12-08,119517764.68
2023-12-11,120926921.88
2023-12-12,121703269.00
2023-12-13,121249139.51
2023-12-14,124867628.80
2023-12-15,126845403.47
2023-12-18,126772453.42
2023-12-19,127365827.11
2023-12-20,126851706.47
2023-12-21,124962949.77
2023-12-22,125888387.12
2023-12-26,124880330.41
2023-12-27,125499488.19
2023-12-28,125569804.25
2024-01-02,125764505.21
2024-01-03,123793670.12
2024-01-04,123578010.56
2024-01-05,121779642.29
2024-01-08,123491791.21
2024-01-09,124187711.01
2024-01-10,122432334.11
2024-01-11,121347926.86
2024-01-12,121188458.71
2024-01-15,121399116.56
2024-01-16,121654033.08
2024-01-17,120780577.59
2024-01-18,120044884.84
2024-01-19,120091192.42
2024-01-22,119888014.53
2024-01-23,118567488.81
2024-01-24,119124305.94
2024-01-25,118706050.67
2024-01-26,118193118.83
2024-01-29,117997378.52
2024-01-30,117633943.58
2024-01-31,117009135.41
2024-02-01,117315269.97
2024-02-02,117680759.56
2024-02-05,117465227.39
2024-02-06,117816654.26
2024-02-07,119686186.71
2024-02-08,115902363.08
2024-02-09,115316882.49
2024-02-14,115485544.92
2024-02-15,114759451.07
2024-02-16,114432994.21
2024-02-19,202133687.52
2024-02-20,202384132.32
2024-02-21,201838729.49
2024-02-22,203447981.45
2024-02-23,204266935.26
2024-02-26,201499606.44
2024-02-27,203295102.04
2024-02-28,206086819.98
2024-02-29,205835939.43
2024-03-01,206162962.94
2024-03-04,205414635.10
2024-03-05,204030085.96
2024-03-06,205461215.37
2024-03-07,203812140.73
2024-03-08,203091823.65
2024-03-11,297278202.58
2024-03-12,297707756.10
2024-03-13,299456781.26
2024-03-14,301052147.32
2024-03-15,302025341.10
2024-03-18,488030947.63
2024-03-19,489961495.62
2024-03-20,490639928.92
2024-03-21,498789589.91
2024-03-22,500491405.95
2024-03-25,690230038.72
2024-03-26,691762467.15
2024-03-27,682725155.43
2024-03-28,687229927.54
2024-04-01,688163321.78
2024-04-02,692328199.31
2024-04-03,693679576.00
2024-04-04,693641413.60
2024-04-05,696881031.53
2024-04-08,693247520.27
2024-04-09,696606962.39
2024-04-10,702192802.72
2024-04-11,695472362.21
2024-04-12,694878381.54
2024-04-15,688611617.72
2024-04-16,683981131.41
2024-04-17,677377811.19
2024-04-18,681196353.82
2024-04-19,685550860.42
2024-04-22,686413557.26
2024-04-23,684345153.75
2024-04-24,682956462.79
2024-04-25,677384848.08
2024-04-26,669669222.69
2024-04-29,673561462.05
2024-04-30,677591680.70
2024-05-02,676899892.70
2024-05-03,687722942.27
2024-05-06,695972381.37
2024-05-07,690495260.06
2024-05-08,689255637.45
2024-05-09,690611331.30
2024-05-10,692758562.75
2024-05-13,691259384.36
2024-05-14,691069919.76
2024-05-15,696073184.54
2024-05-16,701277444.08
2024-05-17,701710398.99
2024-05-20,702770937.78
2024-05-21,708540725.22
2024-05-22,714792945.98
2024-05-23,701135200.81
2024-05-24,701484604.97
2024-05-27,704268139.29
2024-05-28,705262456.97
2024-05-29,699609254.56
2024-05-31,693495776.44
2024-06-03,687114014.85
2024-06-04,695331993.55
2024-06-05,694480610.10
2024-06-06,697845379.42
2024-06-07,704678116.43
2024-06-10,693223075.43
2024-06-11,692207452.36
2024-06-12,698954811.34
2024-06-13,689055011.53
2024-06-14,692865056.00
2024-06-17,691608326.32
2024-06-18,691285841.00
2024-06-19,697047297.53
2024-06-20,699994822.00
2024-06-21,702816959.48
2024-06-24,707563914.55
2024-06-25,708633575.78
2024-06-26,707108213.38
2024-06-27,702287329.84
2024-06-28,701219126.19
2024-07-01,698503297.13
2024-07-02,705231348.61
