date,action,ticker,qty,price,fee_total,cash_delta_date,settlement_date,rule_id_or_reason,notional
2023-10-06,SELL,CMIG4.SA,1646,9.3846,33.1706,2023-10-10,2023-10-10,SOFT_STOP,15447.0516
2023-10-06,SELL,RAIL3.SA,258,21.58,18.3515,2023-10-10,2023-10-10,SOFT_STOP,5567.639999999999
2023-10-06,SELL,BPAC11.SA,1452,30.81,77.1042,2023-10-10,2023-10-10,SOFT_STOP,44736.119999999995
2023-10-09,SELL,CMIG4.SA,823,9.3231,21.5093,2023-10-11,2023-10-11,SOFT_STOP,7672.9113
2023-10-09,SELL,RAIL3.SA,129,21.79,14.2164,2023-10-11,2023-10-11,SOFT_STOP,2810.91
2023-10-09,SELL,BPAC11.SA,726,30.93,43.6828,2023-10-11,2023-10-11,SOFT_STOP,22455.18
2023-10-09,BUY,BBDC4.SA,2781157,14.47,60375.0138,2023-10-09,2023-10-09,WEEKLY_BUY,40243341.79
2023-10-10,SELL,RAIL3.SA,65,22.07,12.1518,2023-10-13,2023-10-13,SOFT_STOP,1434.55
2023-10-10,SELL,BPAC11.SA,363,30.69,26.7107,2023-10-13,2023-10-13,SOFT_STOP,11140.470000000001
2023-10-10,SELL,BBDC4.SA,2781157,14.34,59832.6877,2023-10-13,2023-10-13,HARD_STOP,39881791.38
