date,equity
2025-08-01,1.5392917867548948e+19
2025-08-04,3.066384907170184e+19
2025-08-05,3.075030101602177e+19
2025-08-06,3.075028320603412e+19
2025-08-07,3.0750340759698862e+19
2025-08-08,3.075055395730324e+19
2025-08-11,6.147795719485751e+19
2025-08-12,6.170733553550681e+19
2025-08-13,6.17077957733403e+19
2025-08-14,6.170761237070238e+19
2025-08-15,6.170745995295649e+19
2025-08-18,9.24584504859428e+19
2025-08-19,9.47701591622756e+19
2025-08-20,9.476944993168605e+19
2025-08-21,9.476951332888291e+19
