date,action,ticker,qty,price,fee_total,cash_delta_date,settlement_date,rule_id_or_reason
2025-08-06,SELL,ABEV3.SA,509663095816441,12.36,9449153533978.41,2025-08-08,2025-08-08,SOFT_STOP
2025-08-06,SELL,BPAC11.SA,695,39.21,50.8764,2025-08-08,2025-08-08,SOFT_STOP
2025-08-07,SELL,ABEV3.SA,254831547908220,12.48,4770446401872.94,2025-08-11,2025-08-11,SOFT_STOP
2025-08-07,SELL,BPAC11.SA,347,39.82,30.7263,2025-08-11,2025-08-11,SOFT_STOP
2025-08-08,SELL,ABEV3.SA,127415773954110,12.54,2396690700796.02,2025-08-12,2025-08-12,SOFT_STOP
2025-08-08,SELL,BPAC11.SA,174,40.29,20.5157,2025-08-12,2025-08-12,SOFT_STOP
2025-08-11,SELL,ABEV3.SA,63707886977055,12.37,1182099831933.072,2025-08-13,2025-08-13,SOFT_STOP
2025-08-11,SELL,BPAC11.SA,87,40.76,15.3192,2025-08-13,2025-08-13,SOFT_STOP
2025-08-12,SELL,ABEV3.SA,31853943488528,12.31,588183086575.3395,2025-08-14,2025-08-14,SOFT_STOP
2025-08-12,SELL,BPAC11.SA,43,40.02,12.5813,2025-08-14,2025-08-14,SOFT_STOP
2025-08-12,SELL,BBAS3.SA,1623201238017007616,19.1,4.650471639799047e+16,2025-08-14,2025-08-14,HARD_STOP
2025-08-13,SELL,ABEV3.SA,15926971744264,12.23,292180285722.3395,2025-08-15,2025-08-15,SOFT_STOP
2025-08-13,SELL,BPAC11.SA,22,45.27,11.4939,2025-08-15,2025-08-15,SOFT_STOP
2025-08-14,SELL,ABEV3.SA,15926971744264,12.12,289552343586.6736,2025-08-18,2025-08-18,HARD_STOP
2025-08-14,SELL,BPAC11.SA,11,44.3,10.7309,2025-08-18,2025-08-18,SOFT_STOP
2025-08-15,SELL,BPAC11.SA,5,44.51,10.3338,2025-08-19,2025-08-19,SOFT_STOP
