date,ticker,qty
2023-01-02,ABEV3.SA,3442
2023-01-02,AURE3.SA,3393
2023-01-02,B3SA3.SA,3783
2023-01-02,BBAS3.SA,2877
2023-01-02,BBDC4.SA,3297
2023-01-02,BEEF3.SA,3853
2023-01-02,BPAC11.SA,2086
2023-01-02,CMIG4.SA,5822
2023-01-02,COGN3.SA,23518
2023-01-03,ABEV3.SA,3442
2023-01-03,AURE3.SA,3393
2023-01-03,B3SA3.SA,3783
2023-01-03,BBAS3.SA,2877
2023-01-03,BBDC4.SA,3297
2023-01-03,BEEF3.SA,3853
2023-01-03,BPAC11.SA,2086
2023-01-03,CMIG4.SA,5822
2023-01-03,COGN3.SA,23518
2023-01-04,ABEV3.SA,3442
2023-01-04,AURE3.SA,3393
2023-01-04,B3SA3.SA,3783
2023-01-04,BBAS3.SA,2877
2023-01-04,BBDC4.SA,3297
2023-01-04,BEEF3.SA,3853
2023-01-04,BPAC11.SA,2086
2023-01-04,CMIG4.SA,5822
2023-01-04,COGN3.SA,23518
2023-01-05,ABEV3.SA,3442
2023-01-05,AURE3.SA,3393
2023-01-05,B3SA3.SA,3783
2023-01-05,BBAS3.SA,2877
2023-01-05,BBDC4.SA,3297
2023-01-05,BEEF3.SA,3853
2023-01-05,BPAC11.SA,2086
2023-01-05,CMIG4.SA,5822
2023-01-05,COGN3.SA,23518
2023-01-06,ABEV3.SA,3442
2023-01-06,AURE3.SA,3393
2023-01-06,B3SA3.SA,3783
2023-01-06,BBAS3.SA,2877
2023-01-06,BBDC4.SA,3297
2023-01-06,BEEF3.SA,3853
2023-01-06,BPAC11.SA,2086
2023-01-06,CMIG4.SA,5822
2023-01-06,COGN3.SA,23518
2023-01-09,ABEV3.SA,3442
2023-01-09,AURE3.SA,3393
2023-01-09,B3SA3.SA,3783
2023-01-09,BBAS3.SA,2877
2023-01-09,BBDC4.SA,3297
2023-01-09,BEEF3.SA,3853
2023-01-09,BPAC11.SA,2086
2023-01-09,CMIG4.SA,5822
2023-01-09,COGN3.SA,23518
2023-01-10,ABEV3.SA,3442
2023-01-10,AURE3.SA,3393
2023-01-10,B3SA3.SA,3783
2023-01-10,BBAS3.SA,2877
2023-01-10,BBDC4.SA,3297
2023-01-10,BEEF3.SA,3853
2023-01-10,BPAC11.SA,2086
2023-01-10,CMIG4.SA,5822
2023-01-10,COGN3.SA,23518
2023-01-11,ABEV3.SA,3442
2023-01-11,AURE3.SA,3393
2023-01-11,B3SA3.SA,3783
2023-01-11,BBAS3.SA,2877
2023-01-11,BBDC4.SA,3297
2023-01-11,BEEF3.SA,3853
2023-01-11,BPAC11.SA,2086
2023-01-11,CMIG4.SA,5822
2023-01-11,COGN3.SA,23518
2023-01-12,ABEV3.SA,3442
2023-01-12,AURE3.SA,3393
2023-01-12,B3SA3.SA,3783
2023-01-12,BBAS3.SA,2877
2023-01-12,BBDC4.SA,3297
2023-01-12,BEEF3.SA,3853
2023-01-12,BPAC11.SA,2086
2023-01-12,CMIG4.SA,5822
2023-01-12,COGN3.SA,23518
2023-01-13,ABEV3.SA,3442
2023-01-13,AURE3.SA,3393
2023-01-13,B3SA3.SA,3783
2023-01-13,BBAS3.SA,2877
2023-01-13,BBDC4.SA,3297
2023-01-13,BEEF3.SA,3853
2023-01-13,BPAC11.SA,2086
2023-01-13,CMIG4.SA,5822
2023-01-13,COGN3.SA,23518
2023-01-16,ABEV3.SA,3442
2023-01-16,AURE3.SA,3393
2023-01-16,B3SA3.SA,3783
2023-01-16,BBAS3.SA,2877
2023-01-16,BBDC4.SA,3297
2023-01-16,BEEF3.SA,3853
2023-01-16,BPAC11.SA,2086
2023-01-16,CMIG4.SA,5822
2023-01-16,COGN3.SA,23518
2023-01-17,ABEV3.SA,3442
2023-01-17,AURE3.SA,3393
2023-01-17,B3SA3.SA,3783
2023-01-17,BBAS3.SA,2877
2023-01-17,BBDC4.SA,3297
2023-01-17,BEEF3.SA,3853
2023-01-17,BPAC11.SA,2086
2023-01-17,CMIG4.SA,5822
2023-01-17,COGN3.SA,23518
2023-01-18,ABEV3.SA,3442
2023-01-18,AURE3.SA,3393
2023-01-18,B3SA3.SA,3783
2023-01-18,BBAS3.SA,2877
2023-01-18,BBDC4.SA,3297
2023-01-18,BEEF3.SA,3853
2023-01-18,BPAC11.SA,2086
2023-01-18,CMIG4.SA,5822
2023-01-18,COGN3.SA,23518
2023-01-19,ABEV3.SA,3442
2023-01-19,AURE3.SA,3393
2023-01-19,B3SA3.SA,3783
2023-01-19,BBAS3.SA,2877
2023-01-19,BBDC4.SA,3297
2023-01-19,BEEF3.SA,3853
2023-01-19,BPAC11.SA,2086
2023-01-19,CMIG4.SA,5822
2023-01-19,COGN3.SA,23518
2023-01-20,ABEV3.SA,3442
2023-01-20,AURE3.SA,3393
2023-01-20,B3SA3.SA,3783
2023-01-20,BBAS3.SA,2877
2023-01-20,BBDC4.SA,3297
2023-01-20,BEEF3.SA,3853
2023-01-20,BPAC11.SA,2086
2023-01-20,CMIG4.SA,5822
2023-01-20,COGN3.SA,23518
2023-01-23,ABEV3.SA,3442
2023-01-23,AURE3.SA,3393
2023-01-23,B3SA3.SA,3783
2023-01-23,BBAS3.SA,2877
2023-01-23,BBDC4.SA,3297
2023-01-23,BEEF3.SA,3853
2023-01-23,BPAC11.SA,2086
2023-01-23,CMIG4.SA,5822
2023-01-23,COGN3.SA,23518
2023-01-24,ABEV3.SA,3442
2023-01-24,AURE3.SA,3393
2023-01-24,B3SA3.SA,3783
2023-01-24,BBAS3.SA,2877
2023-01-24,BBDC4.SA,3297
2023-01-24,BEEF3.SA,3853
2023-01-24,BPAC11.SA,2086
2023-01-24,CMIG4.SA,5822
2023-01-24,COGN3.SA,23518
2023-01-25,ABEV3.SA,3442
2023-01-25,AURE3.SA,3393
2023-01-25,B3SA3.SA,3783
2023-01-25,BBAS3.SA,2877
2023-01-25,BBDC4.SA,3297
2023-01-25,BEEF3.SA,3853
2023-01-25,BPAC11.SA,2086
2023-01-25,CMIG4.SA,5822
2023-01-25,COGN3.SA,23518
2023-01-26,ABEV3.SA,3442
2023-01-26,AURE3.SA,3393
2023-01-26,B3SA3.SA,3783
2023-01-26,BBAS3.SA,2877
2023-01-26,BBDC4.SA,3297
2023-01-26,BEEF3.SA,3853
2023-01-26,BPAC11.SA,2086
2023-01-26,CMIG4.SA,5822
2023-01-26,COGN3.SA,23518
2023-01-27,ABEV3.SA,3442
2023-01-27,AURE3.SA,3393
2023-01-27,B3SA3.SA,3783
2023-01-27,BBAS3.SA,2877
2023-01-27,BBDC4.SA,3297
2023-01-27,BEEF3.SA,3853
2023-01-27,BPAC11.SA,2086
2023-01-27,CMIG4.SA,5822
2023-01-27,COGN3.SA,23518
2023-01-30,ABEV3.SA,3442
2023-01-30,AURE3.SA,3393
2023-01-30,B3SA3.SA,3783
2023-01-30,BBAS3.SA,2877
2023-01-30,BBDC4.SA,3297
2023-01-30,BEEF3.SA,3853
2023-01-30,BPAC11.SA,2086
2023-01-30,CMIG4.SA,5822
2023-01-30,COGN3.SA,23518
2023-01-31,ABEV3.SA,3442
2023-01-31,AURE3.SA,3393
2023-01-31,B3SA3.SA,3783
2023-01-31,BBAS3.SA,2877
2023-01-31,BBDC4.SA,3297
2023-01-31,BEEF3.SA,3853
2023-01-31,BPAC11.SA,2086
2023-01-31,CMIG4.SA,5822
2023-01-31,COGN3.SA,23518
2023-02-01,ABEV3.SA,3442
2023-02-01,AURE3.SA,3393
2023-02-01,B3SA3.SA,3783
2023-02-01,BBAS3.SA,2877
2023-02-01,BBDC4.SA,3297
2023-02-01,BEEF3.SA,3853
2023-02-01,BPAC11.SA,2086
2023-02-01,CMIG4.SA,5822
2023-02-01,COGN3.SA,23518
2023-02-02,ABEV3.SA,3442
2023-02-02,AURE3.SA,3393
2023-02-02,B3SA3.SA,3783
2023-02-02,BBAS3.SA,2877
2023-02-02,BBDC4.SA,3297
2023-02-02,BEEF3.SA,3853
2023-02-02,BPAC11.SA,2086
2023-02-02,CMIG4.SA,5822
2023-02-02,COGN3.SA,23518
2023-02-03,ABEV3.SA,3442
2023-02-03,AURE3.SA,3393
2023-02-03,B3SA3.SA,3783
2023-02-03,BBAS3.SA,2877
2023-02-03,BBDC4.SA,3297
2023-02-03,BEEF3.SA,3853
2023-02-03,BPAC11.SA,2086
2023-02-03,CMIG4.SA,5822
2023-02-03,COGN3.SA,23518
2023-02-06,ABEV3.SA,3442
2023-02-06,AURE3.SA,3393
2023-02-06,B3SA3.SA,3783
2023-02-06,BBAS3.SA,2877
2023-02-06,BBDC4.SA,3297
2023-02-06,BEEF3.SA,3853
2023-02-06,BPAC11.SA,2086
2023-02-06,CMIG4.SA,5822
2023-02-06,COGN3.SA,23518
2023-02-07,ABEV3.SA,3442
2023-02-07,AURE3.SA,3393
2023-02-07,B3SA3.SA,3783
2023-02-07,BBAS3.SA,2877
2023-02-07,BBDC4.SA,3297
2023-02-07,BEEF3.SA,3853
2023-02-07,BPAC11.SA,2086
2023-02-07,CMIG4.SA,5822
2023-02-07,COGN3.SA,23518
2023-02-08,ABEV3.SA,3442
2023-02-08,AURE3.SA,3393
2023-02-08,B3SA3.SA,3783
2023-02-08,BBAS3.SA,2877
2023-02-08,BBDC4.SA,3297
2023-02-08,BEEF3.SA,3853
2023-02-08,BPAC11.SA,2086
2023-02-08,CMIG4.SA,5822
2023-02-08,COGN3.SA,23518
2023-02-09,ABEV3.SA,3442
2023-02-09,AURE3.SA,3393
2023-02-09,B3SA3.SA,3783
2023-02-09,BBAS3.SA,2877
2023-02-09,BBDC4.SA,3297
2023-02-09,BEEF3.SA,3853
2023-02-09,BPAC11.SA,2086
2023-02-09,CMIG4.SA,5822
2023-02-09,COGN3.SA,23518
2023-02-10,ABEV3.SA,3442
2023-02-10,AURE3.SA,3393
2023-02-10,B3SA3.SA,3783
2023-02-10,BBAS3.SA,2877
2023-02-10,BBDC4.SA,3297
2023-02-10,BEEF3.SA,3853
2023-02-10,BPAC11.SA,2086
2023-02-10,CMIG4.SA,5822
2023-02-10,COGN3.SA,23518
2023-02-13,ABEV3.SA,3442
2023-02-13,AURE3.SA,3393
2023-02-13,B3SA3.SA,3783
2023-02-13,BBAS3.SA,2877
2023-02-13,BBDC4.SA,3297
2023-02-13,BEEF3.SA,3853
2023-02-13,BPAC11.SA,2086
2023-02-13,CMIG4.SA,5822
2023-02-13,COGN3.SA,23518
2023-02-14,ABEV3.SA,3442
2023-02-14,AURE3.SA,3393
2023-02-14,B3SA3.SA,3783
2023-02-14,BBAS3.SA,2877
2023-02-14,BBDC4.SA,3297
2023-02-14,BEEF3.SA,3853
2023-02-14,BPAC11.SA,2086
2023-02-14,CMIG4.SA,5822
2023-02-14,COGN3.SA,23518
2023-02-15,ABEV3.SA,3442
2023-02-15,AURE3.SA,3393
2023-02-15,B3SA3.SA,3783
2023-02-15,BBAS3.SA,2877
2023-02-15,BBDC4.SA,3297
2023-02-15,BEEF3.SA,3853
2023-02-15,BPAC11.SA,2086
2023-02-15,CMIG4.SA,5822
2023-02-15,COGN3.SA,23518
2023-02-16,ABEV3.SA,3442
2023-02-16,AURE3.SA,3393
2023-02-16,B3SA3.SA,3783
2023-02-16,BBAS3.SA,2877
2023-02-16,BBDC4.SA,3297
2023-02-16,BEEF3.SA,3853
2023-02-16,BPAC11.SA,2086
2023-02-16,CMIG4.SA,5822
2023-02-16,COGN3.SA,23518
2023-02-17,ABEV3.SA,3442
2023-02-17,AURE3.SA,3393
2023-02-17,B3SA3.SA,3783
2023-02-17,BBAS3.SA,2877
2023-02-17,BBDC4.SA,3297
2023-02-17,BEEF3.SA,3853
2023-02-17,BPAC11.SA,2086
2023-02-17,CMIG4.SA,5822
2023-02-17,COGN3.SA,23518
2023-02-22,ABEV3.SA,3442
2023-02-22,AURE3.SA,3393
2023-02-22,B3SA3.SA,3783
2023-02-22,BBAS3.SA,2877
2023-02-22,BBDC4.SA,3297
2023-02-22,BEEF3.SA,3853
2023-02-22,BPAC11.SA,2086
2023-02-22,CMIG4.SA,5822
2023-02-22,COGN3.SA,23518
2023-02-23,ABEV3.SA,3442
2023-02-23,AURE3.SA,3393
2023-02-23,B3SA3.SA,3783
2023-02-23,BBAS3.SA,2877
2023-02-23,BBDC4.SA,3297
2023-02-23,BEEF3.SA,3853
2023-02-23,BPAC11.SA,2086
2023-02-23,CMIG4.SA,5822
2023-02-23,COGN3.SA,23518
2023-02-24,ABEV3.SA,3442
2023-02-24,AURE3.SA,3393
2023-02-24,B3SA3.SA,3783
2023-02-24,BBAS3.SA,2877
2023-02-24,BBDC4.SA,3297
2023-02-24,BEEF3.SA,3853
2023-02-24,BPAC11.SA,2086
2023-02-24,CMIG4.SA,5822
2023-02-24,COGN3.SA,23518
2023-02-27,ABEV3.SA,3442
2023-02-27,AURE3.SA,3393
2023-02-27,B3SA3.SA,3783
2023-02-27,BBAS3.SA,2877
2023-02-27,BBDC4.SA,3297
2023-02-27,BEEF3.SA,3853
2023-02-27,BPAC11.SA,2086
2023-02-27,CMIG4.SA,5822
2023-02-27,COGN3.SA,23518
2023-02-28,ABEV3.SA,3442
2023-02-28,AURE3.SA,3393
2023-02-28,B3SA3.SA,3783
2023-02-28,BBAS3.SA,2877
2023-02-28,BBDC4.SA,3297
2023-02-28,BEEF3.SA,3853
2023-02-28,BPAC11.SA,2086
2023-02-28,CMIG4.SA,5822
2023-02-28,COGN3.SA,23518
2023-03-01,ABEV3.SA,3442
2023-03-01,AURE3.SA,3393
2023-03-01,B3SA3.SA,3783
2023-03-01,BBAS3.SA,2877
2023-03-01,BBDC4.SA,3297
2023-03-01,BEEF3.SA,3853
2023-03-01,BPAC11.SA,2086
2023-03-01,CMIG4.SA,5822
2023-03-01,COGN3.SA,23518
2023-03-02,ABEV3.SA,3442
2023-03-02,AURE3.SA,3393
2023-03-02,B3SA3.SA,3783
2023-03-02,BBAS3.SA,2877
2023-03-02,BBDC4.SA,3297
2023-03-02,BEEF3.SA,3853
2023-03-02,BPAC11.SA,2086
2023-03-02,CMIG4.SA,5822
2023-03-02,COGN3.SA,23518
2023-03-03,ABEV3.SA,3442
2023-03-03,AURE3.SA,3393
