date,action,ticker,qty,price,fee_total,cash_delta_date,settlement_date,rule_id_or_reason
2023-01-02,BUY,ABEV3.SA,3442,14.5200,84.9668,2023-01-02,2023-01-02,WEEKLY_BUY
2023-01-02,BUY,AURE3.SA,3393,14.7300,84.9683,2023-01-02,2023-01-02,WEEKLY_BUY
2023-01-02,BUY,B3SA3.SA,3783,13.2100,84.9601,2023-01-02,2023-01-02,WEEKLY_BUY
2023-01-02,BUY,BBAS3.SA,2877,17.3650,84.9387,2023-01-02,2023-01-02,WEEKLY_BUY
2023-01-02,BUY,BBDC4.SA,3297,15.1500,84.9243,2023-01-02,2023-01-02,WEEKLY_BUY
2023-01-02,BUY,BEEF3.SA,3853,12.9600,84.9023,2023-01-02,2023-01-02,WEEKLY_BUY
2023-01-02,BUY,BPAC11.SA,2086,23.9300,84.8770,2023-01-02,2023-01-02,WEEKLY_BUY
2023-01-02,BUY,CMIG4.SA,5822,8.5692,84.8351,2023-01-02,2023-01-02,WEEKLY_BUY
2023-01-02,BUY,COGN3.SA,23518,2.1200,84.7872,2023-01-02,2023-01-02,WEEKLY_BUY
2023-01-03,SELL,B3SA3.SA,3783,12.2500,79.5126,2023-01-05,2023-01-05,IDIOSYNCRATIC_HARD_STOP
2023-01-03,SELL,BBAS3.SA,2877,16.6300,81.7668,2023-01-05,2023-01-05,IDIOSYNCRATIC_HARD_STOP
2023-01-03,SELL,BBDC4.SA,3297,14.7500,82.9461,2023-01-05,2023-01-05,IDIOSYNCRATIC_HARD_STOP
2023-01-03,SELL,BPAC11.SA,2086,22.3800,80.0270,2023-01-05,2023-01-05,IDIOSYNCRATIC_HARD_STOP
2023-01-03,SELL,COGN3.SA,23518,2.0500,82.3178,2023-01-05,2023-01-05,IDIOSYNCRATIC_HARD_STOP
2023-01-04,SELL,BEEF3.SA,3853,12.3400,81.3190,2023-01-06,2023-01-06,IDIOSYNCRATIC_HARD_STOP
2023-01-09,BUY,CPLE6.SA,6339,7.5379,81.6739,2023-01-09,2023-01-09,WEEKLY_BUY
2023-01-09,BUY,ELET3.SA,1165,41.0000,81.6475,2023-01-09,2023-01-09,WEEKLY_BUY
2023-01-09,BUY,EQTL3.SA,1867,25.5697,81.6081,2023-01-09,2023-01-09,WEEKLY_BUY
2023-01-09,BUY,GGBR4.SA,1983,24.0714,81.6005,2023-01-09,2023-01-09,WEEKLY_BUY
2023-01-09,BUY,ITSA4.SA,6231,7.6592,81.5869,2023-01-09,2023-01-09,WEEKLY_BUY
2023-01-09,BUY,ITUB4.SA,2079,22.9364,81.5270,2023-01-09,2023-01-09,WEEKLY_BUY
2023-01-10,SELL,ELET3.SA,1165,41.3000,82.1717,2023-01-12,2023-01-12,IDIOSYNCRATIC_HARD_STOP
2023-01-10,SELL,ITUB4.SA,2079,23.1000,82.0374,2023-01-12,2023-01-12,IDIOSYNCRATIC_HARD_STOP
2023-01-16,BUY,LREN3.SA,2614,18.3091,81.7899,2023-01-16,2023-01-16,WEEKLY_BUY
2023-01-16,BUY,MGLU3.SA,1490,32.0816,81.7024,2023-01-16,2023-01-16,WEEKLY_BUY
2023-01-17,SELL,ABEV3.SA,3442,13.2000,78.1516,2023-01-19,2023-01-19,IDIOSYNCRATIC_HARD_STOP
2023-01-17,SELL,LREN3.SA,2614,17.9364,80.3285,2023-01-19,2023-01-19,IDIOSYNCRATIC_HARD_STOP
2023-01-17,SELL,MGLU3.SA,1490,36.0099,90.4822,2023-01-19,2023-01-19,IDIOSYNCRATIC_HARD_STOP
2023-01-23,BUY,B3SA3.SA,3787,12.7700,82.5400,2023-01-23,2023-01-23,WEEKLY_BUY
2023-01-23,BUY,BBAS3.SA,2413,20.0350,82.5167,2023-01-23,2023-01-23,WEEKLY_BUY
2023-01-23,BUY,BBDC4.SA,3293,14.6700,82.4625,2023-01-23,2023-01-23,WEEKLY_BUY
2023-01-24,SELL,B3SA3.SA,3787,12.6500,81.8583,2023-01-26,2023-01-26,IDIOSYNCRATIC_HARD_STOP
2023-01-24,SELL,BBDC4.SA,3293,14.0500,79.4000,2023-01-26,2023-01-26,IDIOSYNCRATIC_HARD_STOP
2023-01-30,BUY,BEEF3.SA,3272,14.4900,81.1169,2023-01-30,2023-01-30,WEEKLY_BUY
2023-01-30,BUY,BPAC11.SA,2227,21.2700,81.0524,2023-01-30,2023-01-30,WEEKLY_BUY
2023-01-31,SELL,BPAC11.SA,2227,21.1000,80.4846,2023-02-02,2023-02-02,IDIOSYNCRATIC_HARD_STOP
2023-02-06,BUY,ABEV3.SA,3629,12.9800,80.6566,2023-02-06,2023-02-06,WEEKLY_BUY
2023-02-07,SELL,ABEV3.SA,3629,13.0200,80.8744,2023-02-09,2023-02-09,IDIOSYNCRATIC_HARD_STOP
2023-02-13,BUY,B3SA3.SA,3991,11.8000,80.6407,2023-02-13,2023-02-13,WEEKLY_BUY
2023-02-15,SELL,BEEF3.SA,3272,12.7000,72.3316,2023-02-17,2023-02-17,IDIOSYNCRATIC_HARD_STOP
2023-02-23,SELL,B3SA3.SA,3991,10.8500,74.9535,2023-02-27,2023-02-27,IDIOSYNCRATIC_HARD_STOP
2023-02-27,BUY,ABEV3.SA,3296,13.3200,75.8541,2023-02-27,2023-02-27,WEEKLY_BUY
2023-02-27,BUY,BBDC4.SA,3299,13.3000,75.8151,2023-02-27,2023-02-27,WEEKLY_BUY
2023-03-01,SELL,ABEV3.SA,3296,13.3900,76.2002,2023-03-03,2023-03-03,IDIOSYNCRATIC_HARD_STOP
2023-03-06,BUY,BEEF3.SA,3723,11.8000,75.8971,2023-03-06,2023-03-06,WEEKLY_BUY
2023-03-07,SELL,BEEF3.SA,3723,11.7800,75.7854,2023-03-09,2023-03-09,IDIOSYNCRATIC_HARD_STOP
2023-03-10,SELL,GGBR4.SA,1983,21.7302,74.6364,2023-03-14,2023-03-14,IDIOSYNCRATIC_HARD_STOP
2023-03-13,BUY,B3SA3.SA,2594,11.2600,53.8127,2023-03-13,2023-03-13,WEEKLY_BUY
2023-03-13,BUY,BPAC11.SA,1453,20.0800,53.7644,2023-03-13,2023-03-13,WEEKLY_BUY
2023-03-14,SELL,BPAC11.SA,1453,19.5300,52.5656,2023-03-16,2023-03-16,IDIOSYNCRATIC_HARD_STOP
2023-03-20,BUY,ABEV3.SA,3533,14.2200,85.3589,2023-03-20,2023-03-20,WEEKLY_BUY
2023-03-24,SELL,BBDC4.SA,3299,12.5700,72.2026,2023-03-28,2023-03-28,IDIOSYNCRATIC_HARD_STOP
2023-03-24,SELL,B3SA3.SA,2594,10.4200,50.5442,2023-03-28,2023-03-28,IDIOSYNCRATIC_HARD_STOP
2023-03-27,BUY,BEEF3.SA,1451,11.5200,35.0733,2023-03-27,2023-03-27,WEEKLY_BUY
2023-03-27,BUY,COGN3.SA,9031,1.8500,35.0610,2023-03-27,2023-03-27,WEEKLY_BUY
2023-03-28,SELL,BEEF3.SA,1451,11.3600,34.7250,2023-03-30,2023-03-30,IDIOSYNCRATIC_HARD_STOP
2023-03-28,SELL,COGN3.SA,9031,1.8100,34.5192,2023-03-30,2023-03-30,IDIOSYNCRATIC_HARD_STOP
2023-04-03,BUY,BPAC11.SA,1998,19.6500,68.8910,2023-04-03,2023-04-03,WEEKLY_BUY
2023-04-03,BUY,ELET3.SA,1179,33.2800,68.8557,2023-04-03,2023-04-03,WEEKLY_BUY
2023-04-04,SELL,ELET3.SA,1179,32.8000,68.0068,2023-04-06,2023-04-06,IDIOSYNCRATIC_HARD_STOP
2023-04-10,BUY,B3SA3.SA,3634,10.7000,68.3257,2023-04-10,2023-04-10,WEEKLY_BUY
2023-04-11,SELL,B3SA3.SA,3634,10.9100,69.4704,2023-04-13,2023-04-13,IDIOSYNCRATIC_HARD_STOP
2023-04-17,BUY,BBDC4.SA,2842,13.7900,68.7868,2023-04-17,2023-04-17,WEEKLY_BUY
2023-09-27,SELL,BBDC4.SA,2842,13.9600,69.5115,2023-09-29,2023-09-29,IDIOSYNCRATIC_HARD_STOP
2023-10-02,BUY,B3SA3.SA,3203,12.2900,69.0473,2023-10-02,2023-10-02,WEEKLY_BUY
2023-10-03,SELL,B3SA3.SA,3203,12.0000,67.6540,2023-10-05,2023-10-05,IDIOSYNCRATIC_HARD_STOP
2023-10-09,BUY,BEEF3.SA,4777,8.1300,68.2555,2023-10-09,2023-10-09,WEEKLY_BUY
2023-10-10,SELL,BEEF3.SA,4777,8.1000,68.0406,2023-10-13,2023-10-13,IDIOSYNCRATIC_HARD_STOP
2023-10-16,BUY,BBDC4.SA,2670,14.4900,68.0324,2023-10-16,2023-10-16,WEEKLY_BUY
2023-11-24,SELL,CMIG4.SA,5822,8.4538,83.8274,2023-11-28,2023-11-28,IDIOSYNCRATIC_HARD_STOP
2023-11-27,BUY,B3SA3.SA,1495,12.9200,38.9731,2023-11-27,2023-11-27,WEEKLY_BUY
2024-02-08,SELL,BBDC4.SA,2670,13.9600,65.9098,2024-02-14,2024-02-14,IDIOSYNCRATIC_HARD_STOP
2024-02-19,BUY,BEEF3.SA,8100,6.5200,89.2180,2024-02-19,2024-02-19,WEEKLY_BUY
2024-03-05,SELL,AURE3.SA,3393,12.1900,72.0410,2024-03-07,2024-03-07,IDIOSYNCRATIC_HARD_STOP
2024-03-11,BUY,BBDC4.SA,3396,13.8400,80.5010,2024-03-11,2024-03-11,WEEKLY_BUY
2024-03-12,SELL,BBDC4.SA,3396,13.9200,80.9085,2024-03-14,2024-03-14,IDIOSYNCRATIC_HARD_STOP
2024-03-18,BUY,CMIG4.SA,5352,8.7923,80.5846,2024-03-18,2024-03-18,WEEKLY_BUY
2024-03-25,SELL,B3SA3.SA,1495,12.0000,36.9100,2024-03-27,2024-03-27,IDIOSYNCRATIC_HARD_STOP
