date,cash
2023-01-02,49795.95
2023-01-03,49795.95
2023-01-04,49795.95
2023-01-05,287102.97
2023-01-06,334567.67
2023-01-09,47648.75
2023-01-10,47648.75
2023-01-11,47648.75
2023-01-12,143623.95
2023-01-13,143623.95
2023-01-16,47798.93
2023-01-17,47798.93
2023-01-18,47798.93
2023-01-19,193524.84
2023-01-20,193524.84
2023-01-23,48264.56
2023-01-24,48264.56
2023-01-25,48264.56
2023-01-26,142275.51
2023-01-27,142275.51
2023-01-30,47333.77
2023-01-31,47333.77
2023-02-01,47333.77
2023-02-02,94242.98
2023-02-03,94242.98
2023-02-06,47057.91
2023-02-07,47057.91
2023-02-08,47057.91
2023-02-09,94226.61
2023-02-10,94226.61
2023-02-13,47052.17
2023-02-14,47052.17
2023-02-15,47052.17
2023-02-16,47052.17
2023-02-17,88534.24
2023-02-22,88534.24
2023-02-23,88534.24
2023-02-24,88534.24
2023-02-27,43830.55
2023-02-28,43830.55
2023-03-01,43830.55
2023-03-02,43830.55
2023-03-03,87887.79
2023-03-06,43880.49
2023-03-07,43880.49
2023-03-08,43880.49
2023-03-09,87661.65
2023-03-10,87661.65
2023-03-13,29169.39
2023-03-14,72185.66
2023-03-15,72185.66
2023-03-16,100510.18
2023-03-17,100510.18
2023-03-20,50185.56
2023-03-21,50185.56
2023-03-22,50185.56
2023-03-23,50185.56
2023-03-24,50185.56
2023-03-27,16692.56
2023-03-28,85067.72
2023-03-29,85067.72
2023-03-30,117827.94
2023-03-31,117827.94
2023-04-03,39192.38
2023-04-04,39192.38
2023-04-05,39192.38
2023-04-06,77795.57
2023-04-10,38843.45
2023-04-11,38843.45
2023-04-12,38843.45
2023-04-13,78420.91
2023-04-14,78420.91
2023-04-17,39160.95
2023-04-18,39160.95
2023-04-19,39160.95
2023-04-20,39160.95
2023-04-24,39160.95
2023-04-25,39160.95
2023-04-26,39160.95
2023-04-27,39160.95
2023-04-28,39160.95
2023-05-02,39160.95
2023-05-03,39160.95
2023-05-04,39160.95
2023-05-05,39160.95
2023-05-08,39160.95
2023-05-09,39160.95
2023-05-10,39160.95
2023-05-11,39160.95
2023-05-12,39160.95
2023-05-15,39160.95
2023-05-16,39160.95
2023-05-17,39160.95
2023-05-18,39160.95
2023-05-19,39160.95
2023-05-22,39160.95
2023-05-23,39160.95
2023-05-24,39160.95
2023-05-25,39160.95
2023-05-26,39160.95
2023-05-29,39160.95
2023-05-30,39160.95
2023-05-31,39160.95
2023-06-01,39160.95
2023-06-02,39160.95
