DOC_AUDIT_MARKET_PRICES_V1 - S2_PRICES_INVENTORY_FILESYSTEM

N_FILES 122
FILE, TICKER, SIZE, MTIME, NAME_OK
('AAPL34_SA.parquet', 'AAPL34_SA', 24730, 1764706935, True)
('ABBV34_SA.parquet', 'ABBV34_SA', 23330, 1764706957, True)
('ABEV3_SA.parquet', 'ABEV3_SA', 22264, 1764706883, True)
('ADBE34_SA.parquet', 'ADBE34_SA', 24105, 1764706941, True)
('ALPA4_SA.parquet', 'ALPA4_SA', 23316, 1764706892, True)
('ALUP11_SA.parquet', 'ALUP11_SA', 24207, 1764706880, True)
('AMER3_SA.parquet', 'AMER3_SA', 19940, 1764706887, True)
('AMZO34_SA.parquet', 'AMZO34_SA', 25077, 1764706937, True)
('ANIM3_SA.parquet', 'ANIM3_SA', 21729, 1764706894, True)
('ASAI3_SA.parquet', 'ASAI3_SA', 24217, 1764706886, True)
('AURE3_SA.parquet', 'AURE3_SA', 20711, 1764706878, True)
('AZUL4_SA.parquet', 'AZUL4_SA', 24288, 1764706910, True)
('B3SA3_SA.parquet', 'B3SA3_SA', 23147, 1764706855, True)
('BABA34_SA.parquet', 'BABA34_SA', 24090, 1764706959, True)
('BBAS3_SA.parquet', 'BBAS3_SA', 24970, 1764706853, True)
('BBDC3_SA.parquet', 'BBDC3_SA', 22953, 1764706859, True)
('BBDC4_SA.parquet', 'BBDC4_SA', 24183, 1764706852, True)
('BBSE3_SA.parquet', 'BBSE3_SA', 23697, 1764706856, True)
('BEEF3_SA.parquet', 'BEEF3_SA', 22783, 1764706923, True)
('BERK34_SA.parquet', 'BERK34_SA', 23367, 1764706957, True)
('BHIA3_SA.parquet', 'BHIA3_SA', 22967, 1764706889, True)
('BMOB3_SA.parquet', 'BMOB3_SA', 22821, 1764706921, True)
('BOAC34_SA.parquet', 'BOAC34_SA', 23893, 1764706945, True)
('BPAC11_SA.parquet', 'BPAC11_SA', 24873, 1764706856, True)
('BRAP4_SA.parquet', 'BRAP4_SA', 23701, 1764706865, True)
('CASH3_SA.parquet', 'CASH3_SA', 23258, 1764706917, True)
('CMIG4_SA.parquet', 'CMIG4_SA', 23101, 1764706877, True)
('CMIN3_SA.parquet', 'CMIN3_SA', 21257, 1764706868, True)
('COCA34_SA.parquet', 'COCA34_SA', 23329, 1764706949, True)
('COGN3_SA.parquet', 'COGN3_SA', 20210, 1764706893, True)
('CPFE3_SA.parquet', 'CPFE3_SA', 23157, 1764706875, True)
('CPLE6_SA.parquet', 'CPLE6_SA', 22237, 1764706876, True)
('CSAN3_SA.parquet', 'CSAN3_SA', 23906, 1764706927, True)
('CSCO34_SA.parquet', 'CSCO34_SA', 23484, 1764706944, True)
('CSMG3_SA.parquet', 'CSMG3_SA', 23823, 1764706934, True)
('CSNA3_SA.parquet', 'CSNA3_SA', 23977, 1764706863, True)
('CVCB3_SA.parquet', 'CVCB3_SA', 23526, 1764706912, True)
('CYRE3_SA.parquet', 'CYRE3_SA', 24083, 1764706907, True)
('DASA3_SA.parquet', 'DASA3_SA', 22924, 1764706902, True)
('DISB34_SA.parquet', 'DISB34_SA', 23739, 1764706953, True)
('DXCO3_SA.parquet', 'DXCO3_SA', 22534, 1764706870, True)
('ECOR3_SA.parquet', 'ECOR3_SA', 21849, 1764706925, True)
('EGIE3_SA.parquet', 'EGIE3_SA', 23417, 1764706881, True)
('ELET3_SA.parquet', 'ELET3_SA', 24445, 1764706872, True)
('ELET6_SA.parquet', 'ELET6_SA', 24203, 1764706873, True)
('EMBR3_SA.parquet', 'EMBR3_SA', 25081, 1764706903, True)
('ENGI11_SA.parquet', 'ENGI11_SA', 24489, 1764706874, True)
